generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
10000,1,39999,0,0,0,0
10001,0,40000,0,1,0,0
20000,2,39998,0,1,0,0
20001,0,40000,0,2,0,0
30000,3,39997,0,2,0,0
30001,3,39997,2,2,100,100
30002,3,39997,2,2,100,100
30003,3,39997,2,2,100,100
30004,3,39997,2,2,100,100
30005,3,39997,2,2,100,100
30006,3,39997,2,2,100,100
30007,3,39997,2,2,100,100
30008,3,39997,2,2,100,100
30009,3,39997,2,2,100,100
30010,3,39997,2,2,100,100
30011,3,39997,2,2,100,100
30012,3,39997,2,2,100,100
30013,3,39997,2,2,100,100
30014,3,39997,2,2,100,100
30015,3,39997,2,2,100,100
30016,3,39997,2,2,100,100
30017,3,39997,2,2,100,100
30018,3,39997,2,2,100,100
30019,3,39997,2,2,100,100
30020,3,39997,2,2,100,100
30021,3,39997,2,2,100,100
30022,3,39997,2,2,100,100
30023,3,39997,2,2,100,100
30024,3,39997,2,2,100,100
30025,3,39997,2,2,100,100
30026,3,39997,2,2,100,100
30027,3,39997,2,2,100,100
30028,3,39997,2,2,100,100
30029,3,39997,2,2,100,100
30030,3,39997,2,2,100,100
30031,3,39997,2,2,100,100
30032,3,39997,2,2,100,100
30033,3,39997,2,2,100,100
30034,3,39997,2,2,100,100
30035,3,39997,2,2,100,100
30036,3,39997,2,2,100,100
30037,3,39997,2,2,100,100
30038,3,39997,2,2,100,100
30039,3,39997,2,2,100,100
30040,3,39997,2,2,100,100
30041,3,39997,2,2,100,100
30042,3,39997,2,2,100,100
30043,3,39997,2,2,100,100
30044,3,39997,2,2,100,100
30045,3,39997,2,2,100,100
30046,3,39997,2,2,100,100
30047,3,39997,2,2,100,100
30048,3,39997,2,2,100,100
30049,3,39997,2,2,100,100
30050,3,39997,2,2,100,100
30051,3,39997,2,2,100,100
30052,3,39997,2,2,100,100
30053,3,39997,2,2,100,100
30054,3,39997,2,2,100,100
30055,3,39997,2,2,100,100
30056,3,39997,2,2,100,100
30057,3,39997,2,2,100,100
30058,3,39997,2,2,100,100
30059,3,39997,2,2,100,100
30060,3,39997,2,2,100,100
30061,3,39997,2,2,100,100
30062,3,39997,2,2,100,100
30063,3,39997,2,2,100,100
30064,3,39997,2,2,100,100
30065,3,39997,2,2,100,100
30066,3,39997,2,2,100,100
30067,3,39997,2,2,100,100
30068,3,39997,2,2,100,100
30069,3,39997,2,2,100,100
30070,3,39997,2,2,100,100
30071,3,39997,2,2,100,100
30072,3,39997,2,2,100,100
30073,3,39997,2,2,100,100
30074,3,39997,2,2,100,100
30075,3,39997,2,2,100,100
30076,3,39997,2,2,100,100
30077,3,39997,2,2,100,100
30078,3,39997,2,2,100,100
30079,3,39997,2,2,100,100
30080,3,39997,2,2,100,100
30081,3,39997,2,2,100,100
30082,3,39997,2,2,100,100
30083,3,39997,2,2,100,100
30084,3,39997,2,2,100,100
30085,3,39997,2,2,100,100
30086,3,39997,2,2,100,100
30087,3,39997,2,2,100,100
30088,3,39997,2,2,100,100
30089,3,39997,2,2,100,100
30090,3,39997,2,2,100,100
30091,3,39997,2,2,100,100
30092,3,39997,2,2,100,100
30093,3,39997,2,2,100,100
30094,3,39997,2,2,100,100
30095,3,39997,2,2,100,100
30096,3,39997,2,2,100,100
30097,3,39997,2,2,100,100
30098,3,39997,2,2,100,100
30099,3,39997,2,2,100,100
30100,3,39997,2,2,100,100
30101,3,39997,2,2,100,100
40000,4,39996,2,2,75,75
40001,6,39994,4,2,99,100
40002,6,39994,2,2,99,100
40003,6,39994,0,0,99,100
40004,6,39994,0,0,99,100
40005,6,39994,0,0,99,100
40006,6,39994,0,0,99,100
40007,6,39994,0,0,99,100
40008,6,39994,0,0,99,100
40009,6,39994,0,0,99,100
40010,6,39994,0,0,99,100
40011,6,39994,0,0,99,100
40012,6,39994,0,0,99,100
40013,6,39994,0,0,99,100
40014,6,39994,0,0,99,100
40015,6,39994,0,0,99,100
40016,6,39994,0,0,99,100
40017,6,39994,0,0,99,100
40018,6,39994,0,0,99,100
40019,6,39994,0,0,99,100
40020,6,39994,0,0,99,100
40021,6,39994,0,0,99,100
40022,6,39994,0,0,99,100
40023,6,39994,0,0,99,100
40024,6,39994,0,0,99,100
40025,6,39994,0,0,99,100
40026,6,39994,0,0,99,100
40027,6,39994,0,0,99,100
40028,6,39994,0,0,99,100
40029,6,39994,0,0,99,100
40030,6,39994,0,0,99,100
40031,6,39994,0,0,99,100
40032,6,39994,0,0,99,100
40033,6,39994,0,0,99,100
40034,6,39994,0,0,99,100
40035,6,39994,0,0,99,100
40036,6,39994,0,0,99,100
40037,6,39994,0,0,99,100
40038,6,39994,0,0,99,100
40039,6,39994,0,0,99,100
40040,6,39994,0,0,99,100
40041,6,39994,0,0,99,100
40042,6,39994,0,0,99,100
40043,6,39994,0,0,99,100
40044,6,39994,0,0,99,100
40045,6,39994,0,0,99,100
40046,6,39994,0,0,99,100
40047,6,39994,0,0,99,100
40048,6,39994,0,0,99,100
40049,6,39994,0,0,99,100
40050,6,39994,0,0,99,100
40051,6,39994,0,0,99,100
40052,6,39994,0,0,99,100
40053,6,39994,0,0,99,100
40054,6,39994,0,0,99,100
40055,6,39994,0,0,99,100
40056,6,39994,0,0,99,100
40057,6,39994,0,0,99,100
40058,6,39994,0,0,99,100
40059,6,39994,0,0,99,100
40060,6,39994,0,0,99,100
40061,6,39994,0,0,99,100
40062,6,39994,0,0,99,100
40063,6,39994,0,0,99,100
40064,6,39994,0,0,99,100
40065,6,39994,0,0,99,100
40066,6,39994,0,0,99,100
40067,6,39994,0,0,99,100
40068,6,39994,0,0,99,100
40069,6,39994,0,0,99,100
40070,6,39994,0,0,99,100
40071,6,39994,0,0,99,100
40072,6,39994,0,0,99,100
40073,6,39994,0,0,99,100
40074,6,39994,0,0,99,100
40075,6,39994,0,0,99,100
40076,6,39994,0,0,99,100
40077,6,39994,0,0,99,100
40078,6,39994,0,0,99,100
40079,6,39994,0,0,99,100
40080,6,39994,0,0,99,100
40081,6,39994,0,0,99,100
40082,6,39994,0,0,99,100
40083,6,39994,0,0,99,100
40084,6,39994,0,0,99,100
40085,6,39994,0,0,99,100
40086,6,39994,0,0,99,100
40087,6,39994,0,0,99,100
40088,6,39994,0,0,99,100
40089,6,39994,0,0,99,100
40090,6,39994,0,0,99,100
40091,6,39994,0,0,99,100
40092,6,39994,0,0,99,100
40093,6,39994,0,0,99,100
40094,6,39994,0,0,99,100
40095,6,39994,0,0,99,100
40096,6,39994,0,0,99,100
40097,6,39994,0,0,99,100
40098,6,39994,0,0,99,100
40099,6,39994,0,0,99,100
40100,6,39994,0,0,99,100
40101,6,39994,0,0,99,100
40102,6,39994,0,0,99,100
50000,5,39995,0,0,119,120
50001,9,39991,6,2,100,100
50002,8,39992,4,5,100,100
50003,12,39988,4,0,100,100
50004,12,39988,8,8,100,100
50005,20,39980,8,0,100,100
50006,12,39988,8,16,100,100
50007,12,39988,8,8,100,100
50008,12,39988,8,8,100,100
50009,12,39988,8,8,100,100
50010,12,39988,8,8,100,100
50011,12,39988,8,8,100,100
50012,12,39988,8,8,100,100
50013,12,39988,8,8,100,100
50014,12,39988,8,8,100,100
50015,12,39988,8,8,100,100
50016,12,39988,8,8,100,100
50017,12,39988,8,8,100,100
50018,12,39988,8,8,100,100
50019,12,39988,8,8,100,100
50020,12,39988,8,8,100,100
50021,12,39988,8,8,100,100
50022,12,39988,8,8,100,100
50023,12,39988,8,8,100,100
50024,12,39988,8,8,100,100
50025,12,39988,8,8,100,100
50026,12,39988,8,8,100,100
50027,12,39988,8,8,100,100
50028,12,39988,8,8,100,100
50029,12,39988,8,8,100,100
50030,12,39988,8,8,100,100
50031,12,39988,8,8,100,100
50032,12,39988,8,8,100,100
50033,12,39988,8,8,100,100
50034,12,39988,8,8,100,100
50035,12,39988,8,8,100,100
50036,12,39988,8,8,100,100
50037,12,39988,8,8,100,100
50038,12,39988,8,8,100,100
50039,12,39988,8,8,100,100
50040,12,39988,8,8,100,100
50041,12,39988,8,8,100,100
50042,12,39988,8,8,100,100
50043,12,39988,8,8,100,100
50044,12,39988,8,8,100,100
50045,12,39988,8,8,100,100
50046,12,39988,8,8,100,100
50047,12,39988,8,8,100,100
50048,12,39988,8,8,100,100
50049,12,39988,8,8,100,100
50050,12,39988,8,8,100,100
50051,12,39988,8,8,100,100
50052,12,39988,8,8,100,100
50053,12,39988,8,8,100,100
50054,12,39988,8,8,100,100
50055,12,39988,8,8,100,100
50056,12,39988,8,8,100,100
50057,12,39988,8,8,100,100
50058,12,39988,8,8,100,100
50059,12,39988,8,8,100,100
50060,12,39988,8,8,100,100
50061,12,39988,8,8,100,100
50062,12,39988,8,8,100,100
50063,12,39988,8,8,100,100
50064,12,39988,8,8,100,100
50065,12,39988,8,8,100,100
50066,12,39988,8,8,100,100
50067,12,39988,8,8,100,100
50068,12,39988,8,8,100,100
50069,12,39988,8,8,100,100
50070,12,39988,8,8,100,100
50071,12,39988,8,8,100,100
50072,12,39988,8,8,100,100
50073,12,39988,8,8,100,100
50074,12,39988,8,8,100,100
50075,12,39988,8,8,100,100
50076,12,39988,8,8,100,100
50077,12,39988,8,8,100,100
