generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
0,1232,8768,0,0,0,0
1,778,9222,318,772,49,49
2,737,9263,265,306,49,49
3,755,9245,277,259,49,49
4,756,9244,251,250,50,50
5,733,9267,236,259,51,50
6,754,9246,260,239,50,51
7,725,9275,255,284,51,50
8,722,9278,274,277,51,49
9,706,9294,240,256,51,50
10,699,9301,225,232,51,49
11,710,9290,236,225,51,50
12,722,9278,250,238,50,49
13,752,9248,249,219,49,49
14,721,9279,236,267,49,49
15,715,9285,239,245,48,50
16,667,9333,215,263,49,51
17,701,9299,235,201,48,51
18,679,9321,225,247,49,51
19,689,9311,214,204,48,51
20,684,9316,201,206,48,51
21,703,9297,229,210,47,51
22,678,9322,203,228,48,50
23,666,9334,215,227,48,50
24,655,9345,193,204,49,49
25,655,9345,210,210,49,49
26,646,9354,212,221,49,48
27,687,9313,225,184,49,49
28,721,9279,223,189,49,49
29,722,9278,213,212,50,48
30,715,9285,219,226,49,49
31,689,9311,215,241,49,49
32,676,9324,224,237,49,49
33,678,9322,224,222,49,49
34,642,9358,212,248,48,49
35,652,9348,206,196,48,49
36,635,9365,194,211,49,49
37,659,9341,210,186,48,49
38,647,9353,197,209,49,50
39,668,9332,215,194,49,50
40,653,9347,210,225,49,49
41,694,9306,243,202,49,50
42,683,9317,210,221,50,50
43,705,9295,230,208,49,50
44,702,9298,214,217,51,51
45,729,9271,240,213,51,50
46,716,9284,227,240,51,52
47,731,9269,217,202,50,51
48,736,9264,243,238,51,52
49,738,9262,235,233,51,51
50,780,9220,272,230,50,51
51,772,9228,223,231,50,51
52,799,9201,259,232,51,52
53,736,9264,235,298,50,51
54,760,9240,258,234,50,51
55,731,9269,235,264,50,51
56,745,9255,263,249,51,51
57,737,9263,245,253,51,51
58,791,9209,276,222,51,51
59,725,9275,230,296,50,50
60,763,9237,254,216,50,51
61,733,9267,211,241,50,51
62,728,9272,222,227,50,51
63,742,9258,241,227,50,51
64,743,9257,231,230,50,51
65,751,9249,238,230,51,51
66,759,9241,249,241,51,51
67,762,9238,253,250,52,52
68,799,9201,272,235,52,52
69,766,9234,256,289,52,52
70,753,9247,234,247,53,52
71,817,9183,263,199,52,51
72,783,9217,250,284,53,52
73,720,9280,220,283,52,51
74,757,9243,253,216,52,52
75,717,9283,218,258,52,52
76,728,9272,229,218,53,51
77,744,9256,253,237,52,52
78,744,9256,242,242,52,51
79,722,9278,226,248,52,52
80,749,9251,242,215,54,52
81,778,9222,248,219,54,52
82,748,9252,221,251,53,52
83,772,9228,255,231,53,51
84,802,9198,258,228,53,51
85,775,9225,244,271,52,51
86,754,9246,233,254,53,51
87,747,9253,223,230,54,51
88,763,9237,238,222,54,51
89,730,9270,231,264,53,50
90,736,9264,218,212,53,51
91,729,9271,229,236,54,50
92,708,9292,221,242,53,50
93,714,9286,216,210,53,49
94,741,9259,235,208,52,49
95,759,9241,256,238,54,49
96,763,9237,251,247,55,49
97,785,9215,249,227,54,49
98,769,9231,232,248,54,49
99,773,9227,246,242,55,49
100,805,9195,268,236,55,49
101,780,9220,259,284,53,50
102,788,9212,249,241,54,50
103,791,9209,259,256,54,50
104,802,9198,246,235,54,50
105,829,9171,277,250,54,50
106,801,9199,258,286,53,51
107,796,9204,265,270,53,50
108,808,9192,258,246,54,50
109,820,9180,282,270,53,50
110,826,9174,279,273,52,50
111,793,9207,247,280,53,49
112,810,9190,261,244,54,49
113,856,9144,292,246,53,49
114,855,9145,272,273,53,49
115,895,9105,284,244,53,49
116,882,9118,268,281,53,50
117,878,9122,287,291,53,50
118,862,9138,277,293,53,50
119,839,9161,259,282,53,49
120,881,9119,284,242,54,50
121,877,9123,291,295,53,50
122,887,9113,282,272,54,49
123,888,9112,284,283,52,50
124,880,9120,287,295,53,50
125,935,9065,310,255,53,50
126,893,9107,265,307,53,50
127,923,9077,301,271,54,50
128,895,9105,275,303,54,50
129,901,9099,286,280,53,50
130,925,9075,292,268,54,50
131,925,9075,313,313,52,50
132,921,9079,304,308,53,50
133,955,9045,319,285,53,50
134,958,9042,287,284,52,49
135,934,9066,263,287,53,50
136,943,9057,308,299,52,49
137,992,9008,321,272,52,49
138,1010,8990,321,303,52,50
139,1038,8962,335,307,52,49
140,980,9020,298,356,51,50
141,972,9028,337,345,51,49
142,1003,8997,323,292,51,50
143,986,9014,327,344,51,50
144,1032,8968,348,302,51,50
145,1019,8981,344,357,51,50
146,1064,8936,362,317,51,51
147,1105,8895,372,331,51,50
148,1101,8899,387,391,52,50
149,1111,8889,376,366,50,50
150,1143,8857,394,362,51,50
151,1139,8861,368,372,50,51
152,1167,8833,380,352,51,50
153,1100,8900,344,411,50,51
154,1146,8854,403,357,51,50
155,1129,8871,356,373,50,50
156,1146,8854,395,378,50,51
157,1154,8846,399,391,50,51
158,1139,8861,392,407,50,51
159,1174,8826,397,362,51,51
160,1143,8857,369,400,50,51
161,1129,8871,379,393,50,51
162,1124,8876,360,365,50,52
163,1114,8886,368,378,50,50
164,1137,8863,386,363,50,52
165,1102,8898,336,371,50,51
166,1076,8924,324,350,51,51
167,1094,8906,358,340,51,50
168,1087,8913,356,363,51,50
169,1070,8930,324,341,52,50
170,1059,8941,345,356,52,51
171,1080,8920,351,330,53,51
172,1047,8953,345,378,51,51
173,1058,8942,355,344,52,51
174,1072,8928,351,337,52,51
175,1093,8907,364,343,51,52
176,1089,8911,339,343,51,50
177,1100,8900,356,345,51,50
178,1115,8885,369,354,50,51
179,1083,8917,341,373,51,51
180,1070,8930,341,354,51,50
181,1045,8955,331,356,51,50
182,1069,8931,350,326,51,50
183,1082,8918,332,319,51,50
184,1056,8944,322,348,51,50
185,1058,8942,317,315,51,50
