generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
0,5,251,0,0,0,0
1,5,251,2,2,2,2
2,5,251,2,2,3,2
3,5,251,2,2,3,2
4,5,251,2,2,3,3
5,5,251,2,2,3,3
6,5,251,2,2,4,3
7,5,251,2,2,4,3
8,5,251,2,2,4,4
9,5,251,2,2,4,4
10,5,251,2,2,5,4
11,5,251,2,2,5,4
12,5,251,2,2,5,5
13,5,251,2,2,5,5
14,5,251,2,2,6,5
15,5,251,2,2,6,5
16,5,251,2,2,6,6
17,5,251,2,2,6,6
18,5,251,2,2,7,6
19,5,251,2,2,7,6
20,5,251,2,2,7,7
21,5,251,2,2,7,7
22,5,251,2,2,8,7
23,5,251,2,2,8,7
24,5,251,2,2,8,8
25,5,251,2,2,8,8
26,5,251,2,2,9,8
27,5,251,2,2,9,8
28,5,251,2,2,9,9
29,5,251,2,2,9,9
30,5,251,2,2,10,9
31,5,251,2,2,10,9
32,5,251,2,2,10,10
33,5,251,2,2,10,10
34,5,251,2,2,11,10
35,5,251,2,2,11,10
36,5,251,2,2,11,11
37,5,251,2,2,11,11
38,5,251,2,2,12,11
39,5,251,2,2,12,11
40,5,251,2,2,12,12
41,5,251,2,2,12,12
42,5,251,2,2,13,12
43,5,251,2,2,13,12
44,5,251,2,2,13,13
45,5,251,2,2,13,13
46,5,251,2,2,14,13
47,5,251,2,2,14,13
48,5,251,2,2,14,14
49,5,251,2,2,11,14
50,5,251,2,2,8,14
51,5,251,2,2,8,11
52,5,251,2,2,5,8
53,5,251,2,2,6,8
54,5,251,2,2,3,5
55,5,251,2,2,3,6
56,5,251,2,2,3,3
57,5,251,2,2,0,3
58,5,251,2,2,1,3
59,5,251,2,2,1,0
60,5,251,2,2,1,1
61,5,251,2,2,1,1
62,5,251,2,2,2,1
63,5,251,2,2,2,1
64,5,251,2,2,2,2
65,5,251,2,2,2,2
66,5,251,2,2,3,2
67,5,251,2,2,3,2
68,5,251,2,2,3,3
69,5,251,2,2,3,3
70,5,251,2,2,4,3
71,5,251,2,2,4,3
72,5,251,2,2,4,4
73,5,251,2,2,4,4
74,5,251,2,2,5,4
75,5,251,2,2,5,4
76,5,251,2,2,5,5
77,5,251,2,2,5,5
78,5,251,2,2,6,5
79,5,251,2,2,6,5
80,5,251,2,2,6,6
81,5,251,2,2,6,6
82,5,251,2,2,7,6
83,5,251,2,2,7,6
84,5,251,2,2,7,7
85,5,251,2,2,7,7
86,5,251,2,2,8,7
87,5,251,2,2,8,7
88,5,251,2,2,8,8
89,5,251,2,2,8,8
90,5,251,2,2,9,8
91,5,251,2,2,9,8
92,5,251,2,2,9,9
93,5,251,2,2,9,9
94,5,251,2,2,10,9
95,5,251,2,2,10,9
96,5,251,2,2,10,10
97,5,251,2,2,10,10
98,5,251,2,2,11,10
99,5,251,2,2,11,10
100,5,251,2,2,11,11
101,5,251,2,2,11,11
102,5,251,2,2,12,11
103,5,251,2,2,12,11
104,5,251,2,2,12,12
105,5,251,2,2,12,12
106,5,251,2,2,13,12
107,5,251,2,2,13,12
108,5,251,2,2,13,13
109,5,251,2,2,13,13
110,5,251,2,2,14,13
111,5,251,2,2,14,13
112,5,251,2,2,14,14
113,5,251,2,2,11,14
114,5,251,2,2,8,14
115,5,251,2,2,8,11
116,5,251,2,2,5,8
117,5,251,2,2,6,8
118,5,251,2,2,3,5
119,5,251,2,2,3,6
120,5,251,2,2,3,3
121,5,251,2,2,0,3
122,5,251,2,2,1,3
123,5,251,2,2,1,0
124,5,251,2,2,1,1
125,5,251,2,2,1,1
126,5,251,2,2,2,1
127,5,251,2,2,2,1
128,5,251,2,2,2,2
129,5,251,2,2,2,2
130,5,251,2,2,3,2
131,5,251,2,2,3,2
132,5,251,2,2,3,3
133,5,251,2,2,3,3
134,5,251,2,2,4,3
135,5,251,2,2,4,3
136,5,251,2,2,4,4
137,5,251,2,2,4,4
138,5,251,2,2,5,4
139,5,251,2,2,5,4
140,5,251,2,2,5,5
141,5,251,2,2,5,5
142,5,251,2,2,6,5
143,5,251,2,2,6,5
144,5,251,2,2,6,6
145,5,251,2,2,6,6
146,5,251,2,2,7,6
147,5,251,2,2,7,6
148,5,251,2,2,7,7
149,5,251,2,2,7,7
150,5,251,2,2,8,7
151,5,251,2,2,8,7
152,5,251,2,2,8,8
153,5,251,2,2,8,8
154,5,251,2,2,9,8
155,5,251,2,2,9,8
156,5,251,2,2,9,9
157,5,251,2,2,9,9
158,5,251,2,2,10,9
159,5,251,2,2,10,9
160,5,251,2,2,10,10
161,5,251,2,2,10,10
162,5,251,2,2,11,10
163,5,251,2,2,11,10
164,5,251,2,2,11,11
165,5,251,2,2,11,11
166,5,251,2,2,12,11
167,5,251,2,2,12,11
168,5,251,2,2,12,12
169,5,251,2,2,12,12
170,5,251,2,2,13,12
171,5,251,2,2,13,12
172,5,251,2,2,13,13
173,5,251,2,2,13,13
174,5,251,2,2,14,13
175,5,251,2,2,14,13
176,5,251,2,2,14,14
177,5,251,2,2,11,14
178,5,251,2,2,8,14
179,5,251,2,2,8,11
180,5,251,2,2,5,8
181,5,251,2,2,6,8
182,5,251,2,2,3,5
183,5,251,2,2,3,6
184,5,251,2,2,3,3
185,5,251,2,2,0,3
186,5,251,2,2,1,3
187,5,251,2,2,1,0
188,5,251,2,2,1,1
189,5,251,2,2,1,1
190,5,251,2,2,2,1
191,5,251,2,2,2,1
192,5,251,2,2,2,2
193,5,251,2,2,2,2
194,5,251,2,2,3,2
195,5,251,2,2,3,2
196,5,251,2,2,3,3
197,5,251,2,2,3,3
198,5,251,2,2,4,3
199,5,251,2,2,4,3
