generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
10000,8075,8309,0,0,0,0
10001,4660,11724,1862,5277,63,63
10002,4650,11734,213,223,63,63
10003,4642,11742,200,208,63,63
10004,4631,11753,196,207,63,63
10005,4621,11763,164,174,63,63
10006,4616,11768,187,192,63,62
10007,4611,11773,161,166,63,63
10008,4619,11765,160,152,63,63
10009,4603,11781,148,164,63,63
10010,4601,11783,142,144,63,63
10011,4632,11752,165,134,63,63
10012,4655,11729,152,129,63,63
10013,4674,11710,154,135,63,63
10014,4699,11685,153,128,63,63
10015,4705,11679,140,134,63,63
10016,4704,11680,155,156,63,63
10017,4723,11661,136,117,63,63
10018,4743,11641,137,117,63,63
10019,4765,11619,132,110,63,63
10020,4797,11587,145,113,63,63
10021,4835,11549,144,106,63,63
10022,4836,11548,117,116,63,63
10023,4849,11535,127,114,63,63
10024,4858,11526,128,119,63,63
10025,4864,11520,147,141,63,63
10026,4874,11510,125,115,63,62
10027,4902,11482,145,117,63,63
10028,4923,11461,124,103,63,63
10029,4955,11429,143,111,63,63
10030,4938,11446,119,136,63,63
10031,4945,11439,123,116,63,63
10032,4973,11411,158,130,63,63
10033,4999,11385,139,113,63,63
10034,5036,11348,151,114,63,63
10035,5048,11336,120,108,63,63
10036,5026,11358,111,133,63,63
10037,5072,11312,155,109,63,63
10038,5075,11309,126,123,63,63
10039,5048,11336,110,137,63,63
10040,5073,11311,136,111,63,63
10041,5088,11296,122,107,63,63
10042,5117,11267,132,103,63,63
10043,5143,11241,153,127,63,63
10044,5152,11232,131,122,63,63
10045,5175,11209,137,114,63,63
10046,5200,11184,147,122,63,63
10047,5204,11180,131,127,63,63
10048,5204,11180,112,112,63,63
10049,5205,11179,121,120,63,63
10050,5231,11153,138,112,63,63
10051,5255,11129,126,102,63,63
10052,5267,11117,132,120,63,63
10053,5294,11090,147,120,63,63
10054,5285,11099,118,127,63,63
10055,5288,11096,136,133,63,63
10056,5290,11094,117,115,63,63
10057,5288,11096,107,109,63,63
10058,5335,11049,141,94,63,63
10059,5378,11006,138,95,63,62
10060,5406,10978,132,104,63,63
10061,5418,10966,109,97,63,62
10062,5427,10957,127,118,63,62
10063,5445,10939,117,99,63,62
10064,5453,10931,131,123,63,62
10065,5470,10914,137,120,63,62
10066,5457,10927,112,125,63,62
10067,5487,10897,148,118,63,62
10068,5476,10908,113,124,63,63
10069,5512,10872,140,104,63,63
10070,5501,10883,107,118,63,63
10071,5517,10867,132,116,63,62
10072,5576,10808,147,88,63,63
10073,5567,10817,129,138,63,62
10074,5575,10809,109,101,63,63
10075,5572,10812,109,112,63,63
10076,5575,10809,113,110,63,63
10077,5583,10801,126,118,64,63
10078,5590,10794,119,112,64,63
10079,5599,10785,133,124,64,63
10080,5597,10787,125,127,64,63
10081,5596,10788,117,118,64,63
10082,5628,10756,139,107,64,63
10083,5634,10750,122,116,63,63
10084,5641,10743,117,110,63,63
10085,5645,10739,151,147,63,63
10086,5666,10718,120,99,63,63
10087,5700,10684,145,111,63,63
10088,5723,10661,125,102,63,62
10089,5726,10658,116,113,63,62
10090,5741,10643,124,109,63,62
10091,5744,10640,117,114,63,62
10092,5752,10632,126,118,63,62
10093,5760,10624,102,94,63,62
10094,5779,10605,132,113,63,62
10095,5799,10585,118,98,63,62
10096,5786,10598,115,128,63,62
10097,5813,10571,120,93,63,62
10098,5849,10535,125,89,63,62
10099,5871,10513,132,110,63,62
10100,5863,10521,125,133,63,62
10101,5847,10537,128,144,63,62
10102,5868,10516,131,110,63,62
10103,5867,10517,122,123,63,62
10104,5893,10491,120,94,63,62
10105,5901,10483,127,119,63,63
10106,5921,10463,136,116,63,63
10107,5932,10452,124,113,63,63
10108,5952,10432,135,115,63,63
10109,5970,10414,135,117,63,63
10110,5995,10389,125,100,63,63
10111,6005,10379,120,110,63,63
10112,6047,10337,141,99,63,63
10113,6067,10317,141,121,63,63
10114,6069,10315,124,122,63,63
10115,6081,10303,130,118,63,63
10116,6053,10331,97,125,63,63
10117,6062,10322,119,110,63,63
10118,6068,10316,116,110,63,63
10119,6089,10295,131,110,63,63
10120,6095,10289,123,117,63,63
10121,6128,10256,138,105,63,63
10122,6123,10261,116,121,63,63
10123,6116,10268,116,123,63,63
10124,6125,10259,127,118,63,63
10125,6116,10268,105,114,63,63
10126,6145,10239,128,99,63,63
10127,6151,10233,128,122,63,63
10128,6144,10240,123,130,63,63
10129,6170,10214,132,106,63,63
10130,6188,10196,109,91,63,63
10131,6206,10178,127,109,63,63
10132,6232,10152,124,98,63,63
10133,6257,10127,130,105,63,63
10134,6252,10132,116,121,63,63
10135,6240,10144,107,119,63,63
10136,6263,10121,120,97,63,63
10137,6289,10095,130,104,63,63
10138,6311,10073,121,99,63,63
10139,6326,10058,114,99,63,63
10140,6312,10072,107,121,63,63
10141,6298,10086,116,130,63,63
10142,6313,10071,117,102,63,63
10143,6342,10042,134,105,63,63
10144,6323,10061,105,124,63,63
10145,6334,10050,131,120,63,63
10146,6354,10030,131,111,63,63
10147,6341,10043,128,141,63,63
10148,6348,10036,124,117,63,63
10149,6336,10048,115,127,63,63
10150,6358,10026,132,110,63,63
10151,6357,10027,117,118,63,63
10152,6365,10019,122,114,63,63
10153,6366,10018,117,116,63,63
10154,6357,10027,119,128,63,63
10155,6343,10041,130,144,63,63
10156,6360,10024,135,118,63,63
10157,6349,10035,112,123,63,63
10158,6359,10025,125,115,63,63
10159,6350,10034,104,113,63,63
10160,6369,10015,131,112,63,63
10161,6392,9992,130,107,63,63
10162,6392,9992,112,112,63,63
10163,6405,9979,126,113,63,63
10164,6423,9961,131,113,63,63
10165,6431,9953,137,129,63,64
10166,6458,9926,138,111,63,63
10167,6452,9932,112,118,63,63
10168,6458,9926,119,113,63,63
10169,6464,9920,122,116,63,63
10170,6466,9918,116,114,63,63
10171,6460,9924,115,121,63,63
10172,6475,9909,129,114,63,63
10173,6474,9910,117,118,63,63
10174,6484,9900,113,103,63,63
10175,6496,9888,126,114,63,63
10176,6515,9869,120,101,63,63
10177,6498,9886,101,118,63,63
10178,6506,9878,123,115,63,63
10179,6530,9854,124,100,63,63
10180,6533,9851,120,117,63,63
10181,6537,9847,112,108,63,63
10182,6514,9870,112,135,63,63
10183,6513,9871,110,111,63,63
10184,6556,9828,130,87,63,63
10185,6556,9828,115,115,63,63
10186,6573,9811,126,109,63,63
10187,6562,9822,110,121,63,63
10188,6570,9814,123,115,63,63
10189,6567,9817,113,116,63,63
10190,6562,9822,100,105,63,63
10191,6550,9834,112,124,63,63
10192,6549,9835,111,112,63,63
10193,6555,9829,118,112,63,63
10194,6562,9822,107,100,63,63
10195,6576,9808,119,105,63,63
10196,6566,9818,100,110,63,63
10197,6605,9779,132,93,63,63
10198,6612,9772,125,118,63,63
10199,6604,9780,109,117,63,63
10200,6627,9757,130,107,63,63
10201,6643,9741,119,103,63,63
10202,6643,9741,117,117,63,63
10203,6640,9744,111,114,63,63
10204,6622,9762,106,124,63,63
10205,6624,9760,100,98,63,63
10206,6634,9750,107,97,63,63
10207,6629,9755,106,111,63,63
10208,6628,9756,108,109,63,63
10209,6629,9755,100,99,63,63
10210,6651,9733,139,117,63,63
10211,6669,9715,125,107,63,63
10212,6656,9728,109,122,63,63
10213,6681,9703,127,102,63,63
10214,6684,9700,114,111,63,63
10215,6697,9687,108,95,63,63
10216,6697,9687,116,116,63,63
10217,6678,9706,92,111,63,63
10218,6701,9683,136,113,63,63
10219,6714,9670,117,104,63,63
10220,6714,9670,105,105,63,63
10221,6720,9664,107,101,63,63
10222,6721,9663,101,100,63,63
10223,6714,9670,122,129,63,64
10224,6728,9656,128,114,63,63
10225,6725,9659,117,120,63,63
10226,6716,9668,100,109,63,63
10227,6726,9658,122,112,63,63
10228,6725,9659,121,122,63,63
10229,6734,9650,113,104,63,63
10230,6746,9638,111,99,63,63
10231,6736,9648,95,105,63,63
10232,6757,9627,123,102,63,63
10233,6769,9615,114,102,63,63
10234,6785,9599,115,99,63,63
10235,6782,9602,118,121,63,63
10236,6790,9594,107,99,63,63
10237,6805,9579,113,98,63,63
10238,6824,9560,127,108,63,63
10239,6828,9556,120,116,63,63
10240,6814,9570,111,125,63,63
10241,6802,9582,107,119,63,64
10242,6796,9588,101,107,63,64
10243,6779,9605,92,109,63,63
10244,6796,9588,137,120,63,63
10245,6804,9580,131,123,63,63
10246,6796,9588,113,121,63,63
10247,6790,9594,114,120,63,63
10248,6786,9598,119,123,63,63
10249,6779,9605,113,120,63,63
10250,6777,9607,114,116,63,63
10251,6772,9612,119,124,63,63
10252,6772,9612,110,110,63,63
10253,6770,9614,114,116,63,63
10254,6771,9613,112,111,63,63
10255,6768,9616,112,115,63,63
10256,6790,9594,113,91,63,63
10257,6796,9588,104,98,63,63
10258,6789,9595,117,124,63,63
10259,6794,9590,111,106,63,63
10260,6821,9563,135,108,63,63
10261,6805,9579,98,114,63,63
10262,6816,9568,114,103,63,63
10263,6811,9573,102,107,63,63
10264,6831,9553,125,105,63,63
10265,6851,9533,108,88,63,63
10266,6845,9539,108,114,63,63
10267,6860,9524,112,97,63,63
10268,6854,9530,97,103,63,63
10269,6888,9496,119,85,63,63
10270,6882,9502,105,111,63,63
10271,6885,9499,105,102,63,63
10272,6890,9494,105,100,63,63
10273,6886,9498,106,110,63,63
10274,6874,9510,87,99,63,63
10275,6863,9521,101,112,63,63
10276,6859,9525,109,113,63,63
10277,6851,9533,101,109,63,63
10278,6838,9546,104,117,63,63
10279,6854,9530,111,95,63,63
10280,6865,9519,116,105,63,63
10281,6872,9512,111,104,63,63
10282,6885,9499,115,102,63,63
10283,6891,9493,109,103,63,63
10284,6872,9512,91,110,63,63
