generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
10000,499948,500052,0,0,0,0
10001,2758,997242,1087,498277,503,496
10002,2731,997269,0,27,502,496
10003,2699,997301,0,32,502,496
10004,2676,997324,0,23,502,496
10005,2654,997346,0,22,503,496
10006,2630,997370,0,24,503,496
10007,2602,997398,0,28,502,497
10008,2582,997418,0,20,502,497
10009,2554,997446,0,28,501,497
10010,2521,997479,0,33,501,496
10011,2498,997502,0,23,501,496
10012,2473,997527,0,25,500,495
10013,2451,997549,0,22,500,495
10014,2436,997564,0,15,500,495
10015,2414,997586,0,22,501,495
10016,2393,997607,0,21,501,495
10017,2368,997632,0,25,501,496
10018,2349,997651,0,19,500,496
10019,2326,997674,0,23,500,497
10020,2309,997691,0,17,501,497
10021,2287,997713,0,22,501,496
10022,2263,997737,0,24,502,496
10023,2240,997760,0,23,501,496
10024,2221,997779,0,19,501,496
10025,2197,997803,0,24,502,496
10026,2168,997832,0,29,501,496
10027,2153,997847,0,15,501,497
10028,2132,997868,0,21,502,497
10029,2108,997892,0,24,501,498
10030,2085,997915,0,23,502,497
10031,2071,997929,0,14,502,497
10032,2052,997948,0,19,503,497
10033,2037,997963,0,15,504,496
10034,2022,997978,0,15,504,497
10035,2001,997999,0,21,504,498
10036,1978,998022,0,23,503,497
10037,1951,998049,0,27,504,496
10038,1928,998072,0,23,504,496
10039,1905,998095,0,23,503,497
10040,1883,998117,0,22,504,497
10041,1870,998130,0,13,504,497
10042,1851,998149,0,19,504,497
10043,1825,998175,0,26,505,497
10044,1802,998198,0,23,505,496
10045,1779,998221,0,23,504,497
10046,1761,998239,0,18,505,498
10047,1741,998259,0,20,505,498
10048,1727,998273,0,14,506,499
10049,1710,998290,0,17,505,499
10050,1696,998304,0,14,505,499
10051,1682,998318,0,14,505,500
10052,1669,998331,0,13,505,500
10053,1656,998344,0,13,505,500
10054,1645,998355,0,11,504,499
10055,1624,998376,0,21,505,499
10056,1610,998390,0,14,505,499
10057,1591,998409,0,19,504,499
10058,1579,998421,0,12,503,499
10059,1555,998445,0,24,505,499
10060,1543,998457,0,12,504,499
10061,1519,998481,0,24,503,500
10062,1503,998497,0,16,504,501
10063,1488,998512,0,15,504,500
10064,1474,998526,0,14,505,502
10065,1462,998538,0,12,504,502
10066,1448,998552,0,14,506,503
10067,1440,998560,0,8,507,503
10068,1422,998578,0,18,507,502
10069,1407,998593,0,15,508,503
10070,1388,998612,0,19,507,506
10071,1373,998627,0,15,508,506
10072,1362,998638,0,11,510,507
10073,1347,998653,0,15,509,507
10074,1337,998663,0,10,508,508
10075,1317,998683,0,20,509,508
10076,1302,998698,0,15,508,508
10077,1291,998709,0,11,508,509
10078,1278,998722,0,13,509,508
10079,1264,998736,0,14,510,509
10080,1254,998746,0,10,511,511
10081,1246,998754,0,8,510,512
10082,1228,998772,1,19,509,512
10083,1222,998778,0,6,509,512
10084,1205,998795,0,17,509,513
10085,1189,998811,0,16,509,513
10086,1175,998825,0,14,509,511
10087,1159,998841,0,16,510,510
10088,1141,998859,0,18,509,513
10089,1132,998868,0,9,508,513
10090,1121,998879,0,11,509,515
10091,1109,998891,0,12,509,515
10092,1092,998908,0,17,510,516
10093,1077,998923,0,15,510,516
10094,1068,998932,0,9,508,517
10095,1053,998947,0,15,508,518
10096,1041,998959,0,12,506,519
10097,1033,998967,0,8,505,519
10098,1025,998975,0,8,506,518
10099,1016,998984,0,9,505,519
10100,1005,998995,0,11,506,519
10101,995,999005,0,10,506,519
10102,985,999015,0,10,506,520
10103,977,999023,0,8,507,520
10104,971,999029,0,6,507,521
10105,965,999035,0,6,507,521
10106,956,999044,0,9,506,519
10107,943,999057,0,13,507,521
10108,938,999062,0,5,507,521
10109,926,999074,0,12,507,520
10110,914,999086,0,12,506,521
10111,911,999089,0,3,506,521
10112,902,999098,0,9,505,521
10113,894,999106,0,8,504,520
10114,880,999120,0,14,505,522
10115,873,999127,0,7,506,521
10116,865,999135,0,8,506,520
10117,857,999143,0,8,505,522
10118,850,999150,0,7,506,520
10119,846,999154,0,4,505,520
10120,834,999166,0,12,505,518
10121,830,999170,0,4,506,518
10122,820,999180,0,10,503,516
10123,808,999192,0,12,503,514
10124,798,999202,0,10,502,514
10125,783,999217,0,15,502,514
10126,773,999227,0,10,502,516
10127,765,999235,0,8,503,515
10128,760,999240,0,5,503,514
10129,751,999249,0,9,503,514
10130,746,999254,0,5,503,513
10131,734,999266,0,12,504,512
10132,724,999276,0,10,504,512
10133,719,999281,0,5,502,511
10134,716,999284,0,3,504,511
10135,706,999294,0,10,504,512
10136,700,999300,0,6,504,511
10137,694,999306,0,6,504,512
10138,689,999311,0,5,504,511
10139,688,999312,0,1,504,511
10140,675,999325,0,13,503,512
10141,668,999332,0,7,503,512
10142,665,999335,0,3,502,511
10143,653,999347,0,12,503,512
10144,649,999351,0,4,503,512
10145,639,999361,0,10,504,512
10146,636,999364,0,3,502,512
10147,629,999371,0,7,504,513
10148,624,999376,0,5,504,512
10149,620,999380,0,4,503,513
10150,616,999384,0,4,504,512
10151,608,999392,0,8,505,512
10152,603,999397,0,5,503,513
10153,601,999399,0,2,503,515
10154,598,999402,0,3,502,513
10155,591,999409,0,7,501,514
10156,590,999410,0,1,502,514
10157,583,999417,0,7,502,514
10158,578,999422,0,5,503,513
10159,568,999432,0,10,501,512
10160,561,999439,0,7,499,511
10161,554,999446,0,7,499,513
10162,549,999451,0,5,499,511
10163,546,999454,0,3,500,513
10164,540,999460,0,6,501,512
10165,535,999465,0,5,500,513
10166,531,999469,0,4,499,513
10167,526,999474,0,5,500,514
10168,520,999480,0,6,500,514
10169,514,999486,0,6,500,512
10170,511,999489,0,3,500,513
10171,509,999491,0,2,500,512
10172,500,999500,0,9,499,513
10173,494,999506,0,6,499,514
10174,487,999513,0,7,497,516
10175,482,999518,0,5,495,516
10176,476,999524,0,6,493,513
10177,469,999531,0,7,491,511
10178,462,999538,0,7,492,512
10179,457,999543,0,5,492,510
10180,456,999544,0,1,492,510
10181,448,999552,0,8,490,510
10182,445,999555,0,3,490,511
10183,442,999558,0,3,489,509
10184,437,999563,0,5,490,509
10185,430,999570,0,7,489,507
10186,426,999574,0,4,489,507
10187,425,999575,0,1,488,506
10188,422,999578,0,3,490,506
10189,415,999585,0,7,492,505
10190,414,999586,0,1,492,506
10191,410,999590,0,4,492,505
10192,407,999593,0,3,493,505
10193,406,999594,0,1,492,505
10194,402,999598,0,4,494,507
10195,400,999600,0,2,493,507
10196,393,999607,0,7,494,507
10197,392,999608,0,1,494,507
10198,387,999613,0,5,490,507
10199,384,999616,0,3,491,508
10200,380,999620,0,4,490,506
10201,376,999624,0,4,490,508
10202,372,999628,0,4,491,506
10203,365,999635,0,7,492,505
10204,358,999642,0,7,494,503
10205,357,999643,0,1,492,503
10206,353,999647,0,4,491,502
10207,352,999648,0,1,491,503
10208,348,999652,0,4,490,502
10209,347,999653,0,1,488,502
10210,342,999658,0,5,486,504
10211,332,999668,0,10,485,502
10212,331,999669,0,1,484,501
