generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
0,7,159993,0,0,0,0
1,8,159992,6,5,200,200
2,10,159990,6,4,200,200
3,11,159989,3,2,200,200
4,11,159989,3,3,200,200
5,13,159987,2,0,200,200
6,15,159985,3,1,200,200
7,15,159985,5,5,201,200
8,18,159982,8,5,201,200
9,20,159980,8,6,200,200
10,30,159970,12,2,200,200
11,19,159981,7,18,200,199
12,14,159986,9,14,199,198
13,17,159983,7,4,199,199
14,20,159980,9,6,199,198
15,24,159976,8,4,199,199
16,28,159972,10,6,199,198
17,28,159972,9,9,199,198
18,25,159975,14,17,199,199
19,29,159971,9,5,199,199
20,32,159968,11,8,199,199
21,42,159958,13,3,199,199
22,38,159962,12,16,199,199
23,47,159953,20,11,199,199
24,52,159948,24,19,199,199
25,40,159960,16,28,199,199
26,34,159966,17,23,198,198
27,41,159959,20,13,198,198
28,42,159958,17,16,198,198
29,49,159951,18,11,198,198
30,57,159943,20,12,198,198
31,58,159942,23,22,198,198
32,50,159950,19,27,198,198
33,64,159936,25,11,198,198
34,63,159937,30,31,197,198
35,73,159927,30,20,198,198
36,68,159932,27,32,197,198
37,78,159922,25,15,197,198
38,92,159908,41,27,197,198
39,96,159904,34,30,198,198
40,96,159904,43,43,197,198
41,102,159898,49,43,198,197
42,92,159908,45,55,198,198
43,66,159934,32,58,198,197
44,67,159933,31,30,199,198
45,63,159937,32,36,197,197
46,68,159932,31,26,199,197
47,64,159936,30,34,197,197
48,73,159927,31,22,198,197
49,66,159934,30,37,198,197
50,96,159904,42,12,198,197
51,66,159934,31,61,196,197
52,69,159931,32,29,197,198
53,66,159934,35,38,196,198
54,66,159934,25,25,197,198
55,67,159933,27,26,196,198
56,62,159938,28,33,197,198
57,64,159936,24,22,196,198
58,71,159929,23,16,197,198
59,73,159927,27,25,196,198
60,78,159922,26,21,195,198
61,72,159928,24,30,196,198
62,78,159922,30,24,196,198
63,73,159927,33,38,194,198
64,83,159917,41,31,194,198
65,88,159912,42,37,194,198
66,85,159915,37,40,194,198
67,82,159918,29,32,194,198
68,83,159917,26,25,195,198
69,94,159906,35,24,194,198
70,94,159906,30,30,194,198
71,93,159907,32,33,194,198
72,100,159900,35,28,194,198
73,99,159901,39,40,193,199
74,87,159913,39,51,192,198
75,95,159905,40,32,190,199
76,81,159919,27,41,193,199
77,102,159898,40,19,190,199
78,96,159904,38,44,193,199
79,111,159889,44,29,191,199
80,95,159905,38,54,194,199
81,96,159904,31,30,193,199
82,100,159900,41,37,192,199
83,87,159913,33,46,190,199
84,84,159916,35,38,188,199
85,104,159896,43,23,187,199
86,85,159915,25,44,187,199
87,90,159910,34,29,186,199
88,85,159915,32,37,187,199
89,88,159912,33,30,184,199
90,84,159916,38,42,184,198
91,85,159915,34,33,182,198
92,77,159923,33,41,181,198
93,86,159914,33,24,180,198
94,84,159916,37,39,179,198
95,98,159902,34,20,178,199
96,76,159924,29,51,179,200
97,82,159918,36,30,178,200
98,73,159927,27,36,178,199
99,81,159919,31,23,177,199
100,76,159924,33,38,177,199
101,83,159917,35,28,176,199
102,85,159915,28,26,176,199
103,88,159912,29,26,175,199
104,94,159906,34,28,175,199
105,90,159910,35,39,175,199
106,95,159905,42,37,175,200
107,84,159916,27,38,176,200
108,104,159896,44,24,175,200
109,110,159890,44,38,175,201
110,113,159887,35,32,175,200
111,114,159886,43,42,176,201
112,130,159870,41,25,175,201
113,124,159876,46,52,175,200
114,132,159868,54,46,175,201
115,116,159884,46,62,175,201
116,135,159865,65,46,174,201
117,121,159879,46,60,175,201
118,150,159850,65,36,175,202
119,123,159877,45,72,175,202
120,152,159848,74,45,175,202
121,142,159858,68,78,173,201
122,133,159867,49,58,173,200
123,142,159858,48,39,172,201
124,173,159827,73,42,172,201
125,159,159841,60,74,172,201
126,181,159819,70,48,173,201
127,166,159834,69,84,173,201
128,184,159816,76,58,173,201
129,182,159818,79,81,174,202
130,192,159808,76,66,172,201
131,161,159839,59,90,173,201
132,174,159826,60,47,173,202
133,159,159841,55,70,173,201
134,170,159830,59,48,172,202
135,169,159831,68,69,172,201
136,179,159821,67,57,171,200
137,168,159832,67,78,173,201
138,171,159829,70,67,172,201
139,187,159813,81,65,171,201
140,179,159821,75,83,170,201
141,164,159836,70,85,173,201
142,156,159844,71,79,172,200
143,158,159842,56,54,171,200
144,151,159849,54,61,171,200
145,155,159845,61,57,170,200
146,153,159847,68,70,170,200
147,151,159849,61,63,170,199
148,163,159837,68,56,170,199
149,172,159828,77,68,170,199
150,149,159851,55,78,170,200
151,150,159850,70,69,170,199
152,157,159843,62,55,170,200
153,143,159857,61,75,171,200
154,147,159853,59,55,172,200
155,136,159864,55,66,173,200
156,148,159852,65,53,173,200
157,144,159856,66,70,173,201
158,138,159862,59,65,173,201
159,146,159854,57,49,172,201
160,136,159864,49,59,173,200
161,149,159851,65,52,171,200
162,153,159847,60,56,171,200
163,169,159831,72,56,171,201
164,162,159838,59,66,171,201
165,170,159830,68,60,171,202
166,170,159830,71,71,170,203
167,169,159831,74,75,171,202
168,166,159834,78,81,171,204
169,172,159828,69,63,171,203
170,171,159829,64,65,171,203
