generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
0,1250,638750,0,0,0,0
1,758,639242,317,809,399,398
2,736,639264,356,378,400,399
3,753,639247,355,338,400,398
4,704,639296,317,366,399,399
5,690,639310,310,324,400,399
6,657,639343,305,338,400,398
7,641,639359,278,294,400,399
8,631,639369,270,280,401,398
9,609,639391,266,288,399,399
10,587,639413,265,287,401,398
11,573,639427,265,279,400,399
12,617,639383,270,226,400,398
13,610,639390,266,273,400,399
14,602,639398,290,298,400,399
15,602,639398,263,263,401,400
16,559,639441,239,282,400,401
17,554,639446,231,236,401,401
18,557,639443,240,237,401,401
19,533,639467,235,259,401,401
20,539,639461,230,224,401,402
21,554,639446,237,222,401,402
22,519,639481,205,240,401,400
23,518,639482,221,222,401,401
24,525,639475,223,216,401,401
25,545,639455,240,220,402,401
26,511,639489,222,256,401,401
27,507,639493,215,219,401,401
28,503,639497,212,216,402,401
29,479,639521,194,218,402,402
30,465,639535,195,209,402,402
31,458,639542,179,186,402,403
32,459,639541,197,196,403,403
33,484,639516,188,163,402,402
34,471,639529,199,212,402,402
35,474,639526,185,182,401,404
36,486,639514,193,181,399,403
37,543,639457,212,155,399,404
38,532,639468,208,219,400,403
39,529,639471,209,212,401,404
40,510,639490,222,241,400,404
41,545,639455,232,197,400,404
42,518,639482,224,251,400,404
43,503,639497,224,239,400,405
44,514,639486,226,215,399,406
45,481,639519,198,231,401,407
46,489,639511,196,188,401,407
47,498,639502,208,199,401,407
48,507,639493,214,205,402,408
49,466,639534,186,227,401,407
50,503,639497,219,182,401,407
51,487,639513,206,222,401,407
52,477,639523,219,229,401,406
53,465,639535,191,203,401,406
54,437,639563,176,204,400,408
55,445,639555,185,177,400,408
56,450,639550,174,169,400,409
57,421,639579,165,194,400,408
58,434,639566,179,166,400,410
59,439,639561,165,160,400,410
60,471,639529,185,153,400,411
61,456,639544,194,209,402,410
62,452,639548,175,179,400,410
63,426,639574,186,212,402,410
64,451,639549,174,149,403,409
65,424,639576,168,195,404,409
66,414,639586,164,174,404,409
67,422,639578,166,158,405,409
68,435,639565,174,161,405,409
69,458,639542,179,156,404,409
70,454,639546,195,199,405,409
71,469,639531,191,176,405,409
72,472,639528,207,204,405,410
73,467,639533,173,178,404,408
74,445,639555,171,193,405,409
75,484,639516,181,142,407,408
76,451,639549,167,200,407,409
77,468,639532,185,168,407,409
78,457,639543,170,181,407,411
79,510,639490,209,156,407,410
80,485,639515,206,231,408,410
81,514,639486,223,194,406,411
82,485,639515,195,224,408,410
83,468,639532,190,207,408,412
84,477,639523,191,182,408,411
85,476,639524,172,173,406,412
86,495,639505,193,174,408,413
87,474,639526,191,212,406,413
88,491,639509,192,175,408,414
89,486,639514,193,198,408,413
90,525,639475,214,175,408,413
91,497,639503,206,234,407,413
92,505,639495,200,192,407,412
93,550,639450,240,195,408,412
94,532,639468,218,236,408,412
95,513,639487,202,221,407,412
96,520,639480,216,209,408,413
97,498,639502,215,237,408,412
98,493,639507,202,207,408,412
99,467,639533,200,226,409,412
100,459,639541,179,187,408,411
101,481,639519,188,166,410,411
102,473,639527,183,191,407,410
103,495,639505,198,176,408,411
104,483,639517,197,209,407,409
105,466,639534,191,208,408,410
106,489,639511,209,186,408,409
107,455,639545,189,223,406,411
108,459,639541,202,198,407,411
109,463,639537,180,176,407,412
110,468,639532,187,182,408,412
111,479,639521,196,185,407,412
112,520,639480,208,167,407,412
113,503,639497,198,215,407,413
114,524,639476,216,195,407,412
115,534,639466,227,217,407,412
116,573,639427,232,193,406,413
117,577,639423,252,248,406,412
118,566,639434,250,261,405,412
119,557,639443,243,252,406,413
120,558,639442,227,226,404,413
121,573,639427,231,216,404,412
122,549,639451,241,265,405,414
123,566,639434,240,223,405,412
124,498,639502,199,267,405,413
125,556,639444,229,171,405,412
126,533,639467,227,250,406,413
127,580,639420,236,189,406,411
128,531,639469,226,275,407,412
129,605,639395,249,175,407,412
130,571,639429,235,269,406,412
131,624,639376,254,201,407,412
132,565,639435,241,300,406,411
133,601,639399,246,210,407,410
134,559,639441,234,276,405,413
135,597,639403,243,205,407,413
136,561,639439,228,264,407,412
137,582,639418,239,218,409,414
138,574,639426,225,233,410,414
139,603,639397,247,218,410,413
140,569,639431,251,285,411,414
141,613,639387,275,231,411,415
142,547,639453,229,295,411,414
143,539,639461,232,240,413,415
144,509,639491,209,239,412,415
145,518,639482,209,200,413,415
146,523,639477,210,205,413,415
147,514,639486,206,215,413,415
148,513,639487,225,226,413,415
149,515,639485,209,207,414,415
150,493,639507,190,212,414,415
151,467,639533,171,197,415,416
152,471,639529,170,166,415,416
153,465,639535,164,170,414,416
154,459,639541,157,163,415,416
155,450,639550,144,153,412,415
156,458,639542,165,157,414,415
157,430,639570,148,176,413,414
158,426,639574,152,156,414,413
159,419,639581,158,165,414,413
160,423,639577,157,153,413,414
161,389,639611,140,174,413,413
162,392,639608,159,156,412,414
163,379,639621,127,140,413,413
164,368,639632,136,147,414,412
165,398,639602,148,118,414,410
166,389,639611,152,161,417,412
167,371,639629,139,157,415,412
168,386,639614,136,121,414,412
169,385,639615,145,146,414,412
170,432,639568,172,125,415,411
171,403,639597,130,159,414,412
172,415,639585,157,145,413,411
173,408,639592,161,168,415,412
174,426,639574,158,140,412,411
175,417,639583,158,167,412,410
176,439,639561,156,134,412,410
177,443,639557,169,165,412,409
178,498,639502,179,124,413,409
179,471,639529,183,210,414,410
180,497,639503,179,153,413,409
181,480,639520,163,180,414,409
182,509,639491,189,160,413,409
183,535,639465,194,168,415,410
184,508,639492,204,231,414,410
185,523,639477,209,194,415,411
186,502,639498,199,220,415,411
187,492,639508,196,206,415,410
188,494,639506,202,200,414,411
189,529,639471,197,162,415,411
190,532,639468,203,200,413,411
191,535,639465,217,214,412,410
192,528,639472,205,212,413,410
193,523,639477,191,196,413,410
194,512,639488,184,195,413,409
195,496,639504,184,200,412,410
196,483,639517,167,180,412,410
197,518,639482,182,147,412,411
198,512,639488,188,194,411,409
199,502,639498,184,194,411,411
200,515,639485,190,177,409,411
201,498,639502,177,194,410,411
202,494,639506,176,180,408,410
203,513,639487,175,156,408,410
204,516,639484,180,177,408,410
205,529,639471,184,171,408,411
206,529,639471,191,191,408,412
207,536,639464,187,180,408,412
208,525,639475,189,200,406,411
209,511,639489,179,193,407,412
210,526,639474,194,179,405,411
211,513,639487,175,188,407,412
212,518,639482,176,171,408,411
213,536,639464,191,173,407,411
214,522,639478,182,196,407,411
215,533,639467,193,182,406,411
216,519,639481,179,193,407,410
217,522,639478,190,187,405,408
218,511,639489,181,192,407,409
219,526,639474,191,176,409,409
220,521,639479,199,204,408,408
221,517,639483,190,194,409,408
222,504,639496,186,199,406,408
223,496,639504,183,191,409,408
224,476,639524,158,178,408,408
225,477,639523,164,163,408,407
226,477,639523,162,162,407,408
227,475,639525,157,159,405,407
228,484,639516,164,155,406,407
229,481,639519,172,175,406,408
230,487,639513,158,152,407,407
231,495,639505,161,153,406,407
232,493,639507,167,169,407,407
233,519,639481,188,162,405,406
234,531,639469,196,184,405,407
235,550,639450,197,178,405,406
236,577,639423,201,174,407,406
237,547,639453,198,228,406,407
238,575,639425,217,189,406,406
239,605,639395,234,204,406,407
240,615,639385,233,223,406,405
241,596,639404,229,248,407,406
242,610,639390,233,219,407,407
243,614,639386,229,225,407,408
244,602,639398,221,233,406,407
245,540,639460,201,263,407,408
246,510,639490,184,214,406,408
247,525,639475,201,186,404,408
248,526,639474,187,186,403,408
249,550,639450,210,186,402,408
250,532,639468,195,213,400,407
251,502,639498,180,210,399,406
252,511,639489,181,172,397,405
253,472,639528,164,203,397,405
254,464,639536,153,161,399,406
255,458,639542,156,162,398,406
