generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
1000,1,9999,0,0,0,0
1001,0,10000,0,1,0,0
1002,0,10000,0,0,0,0
1003,0,10000,0,0,0,0
1004,0,10000,0,0,0,0
1005,0,10000,0,0,0,0
1006,0,10000,0,0,0,0
1007,0,10000,0,0,0,0
1008,0,10000,0,0,0,0
1009,0,10000,0,0,0,0
1010,0,10000,0,0,0,0
1011,0,10000,0,0,0,0
1012,0,10000,0,0,0,0
1013,0,10000,0,0,0,0
1014,0,10000,0,0,0,0
1015,0,10000,0,0,0,0
1016,0,10000,0,0,0,0
1017,0,10000,0,0,0,0
1018,0,10000,0,0,0,0
1019,0,10000,0,0,0,0
1020,0,10000,0,0,0,0
1021,0,10000,0,0,0,0
1022,0,10000,0,0,0,0
1023,0,10000,0,0,0,0
1024,0,10000,0,0,0,0
1025,0,10000,0,0,0,0
1026,0,10000,0,0,0,0
1027,0,10000,0,0,0,0
1028,0,10000,0,0,0,0
1029,0,10000,0,0,0,0
2000,2,9998,0,0,0,0
2001,0,10000,0,2,0,0
2002,0,10000,0,0,0,0
2003,0,10000,0,0,0,0
2004,0,10000,0,0,0,0
2005,0,10000,0,0,0,0
2006,0,10000,0,0,0,0
2007,0,10000,0,0,0,0
2008,0,10000,0,0,0,0
2009,0,10000,0,0,0,0
2010,0,10000,0,0,0,0
2011,0,10000,0,0,0,0
2012,0,10000,0,0,0,0
2013,0,10000,0,0,0,0
2014,0,10000,0,0,0,0
2015,0,10000,0,0,0,0
2016,0,10000,0,0,0,0
2017,0,10000,0,0,0,0
2018,0,10000,0,0,0,0
2019,0,10000,0,0,0,0
2020,0,10000,0,0,0,0
2021,0,10000,0,0,0,0
2022,0,10000,0,0,0,0
2023,0,10000,0,0,0,0
2024,0,10000,0,0,0,0
2025,0,10000,0,0,0,0
2026,0,10000,0,0,0,0
2027,0,10000,0,0,0,0
2028,0,10000,0,0,0,0
2029,0,10000,0,0,0,0
3000,3,9997,0,0,0,0
3001,3,9997,2,2,50,50
3002,3,9997,2,2,50,50
3003,3,9997,2,2,50,50
3004,3,9997,2,2,50,50
3005,3,9997,2,2,50,50
3006,3,9997,2,2,50,50
3007,3,9997,2,2,50,50
3008,3,9997,2,2,50,50
3009,3,9997,2,2,50,50
3010,3,9997,2,2,50,50
3011,3,9997,2,2,50,50
3012,3,9997,2,2,50,50
3013,3,9997,2,2,50,50
3014,3,9997,2,2,50,50
3015,3,9997,2,2,50,50
3016,3,9997,2,2,50,50
3017,3,9997,2,2,50,50
3018,3,9997,2,2,50,50
3019,3,9997,2,2,50,50
3020,3,9997,2,2,50,50
3021,3,9997,2,2,50,50
3022,3,9997,2,2,50,50
3023,3,9997,2,2,50,50
3024,3,9997,2,2,50,50
3025,3,9997,2,2,50,50
3026,3,9997,2,2,50,50
3027,3,9997,2,2,50,50
3028,3,9997,2,2,50,50
3029,3,9997,2,2,50,50
4000,4,9996,2,2,37,37
4001,6,9994,4,2,49,50
4002,6,9994,2,2,49,50
4003,6,9994,0,0,49,50
4004,6,9994,0,0,49,50
4005,6,9994,0,0,49,50
4006,6,9994,0,0,49,50
4007,6,9994,0,0,49,50
4008,6,9994,0,0,49,50
4009,6,9994,0,0,49,50
4010,6,9994,0,0,49,50
4011,6,9994,0,0,49,50
4012,6,9994,0,0,49,50
4013,6,9994,0,0,49,50
4014,6,9994,0,0,49,50
4015,6,9994,0,0,49,50
4016,6,9994,0,0,49,50
4017,6,9994,0,0,49,50
4018,6,9994,0,0,49,50
4019,6,9994,0,0,49,50
4020,6,9994,0,0,49,50
4021,6,9994,0,0,49,50
4022,6,9994,0,0,49,50
4023,6,9994,0,0,49,50
4024,6,9994,0,0,49,50
4025,6,9994,0,0,49,50
4026,6,9994,0,0,49,50
4027,6,9994,0,0,49,50
4028,6,9994,0,0,49,50
4029,6,9994,0,0,49,50
5000,5,9995,0,0,59,60
5001,9,9991,6,2,50,50
5002,8,9992,4,5,50,50
5003,12,9988,4,0,50,50
5004,12,9988,8,8,50,50
5005,20,9980,8,0,50,50
5006,12,9988,8,16,50,50
5007,12,9988,8,8,50,50
5008,12,9988,8,8,50,50
5009,12,9988,8,8,50,50
5010,12,9988,8,8,50,50
5011,12,9988,8,8,50,50
5012,12,9988,8,8,50,50
5013,12,9988,8,8,50,50
5014,12,9988,8,8,50,50
5015,12,9988,8,8,50,50
5016,12,9988,8,8,50,50
5017,12,9988,8,8,50,50
5018,12,9988,8,8,50,50
5019,12,9988,8,8,50,50
5020,12,9988,8,8,50,50
5021,12,9988,8,8,50,50
5022,12,9988,8,8,50,50
5023,12,9988,8,8,50,50
5024,12,9988,8,8,50,50
5025,12,9988,8,8,50,50
5026,12,9988,8,8,50,50
5027,12,9988,8,8,50,50
5028,12,9988,8,8,50,50
5029,12,9988,8,8,50,50
6000,6,9994,8,8,100,100
6001,12,9988,8,2,49,50
6002,10,9990,6,8,49,50
6003,16,9984,6,0,49,50
6004,10,9990,8,14,49,50
6005,14,9986,8,4,49,50
