generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
1000,1,39999,0,0,0,0
1001,0,40000,0,1,0,0
1002,0,40000,0,0,0,0
1003,0,40000,0,0,0,0
1004,0,40000,0,0,0,0
1005,0,40000,0,0,0,0
1006,0,40000,0,0,0,0
1007,0,40000,0,0,0,0
1008,0,40000,0,0,0,0
1009,0,40000,0,0,0,0
1010,0,40000,0,0,0,0
1011,0,40000,0,0,0,0
1012,0,40000,0,0,0,0
1013,0,40000,0,0,0,0
1014,0,40000,0,0,0,0
1015,0,40000,0,0,0,0
1016,0,40000,0,0,0,0
1017,0,40000,0,0,0,0
1018,0,40000,0,0,0,0
1019,0,40000,0,0,0,0
1020,0,40000,0,0,0,0
1021,0,40000,0,0,0,0
1022,0,40000,0,0,0,0
1023,0,40000,0,0,0,0
1024,0,40000,0,0,0,0
1025,0,40000,0,0,0,0
1026,0,40000,0,0,0,0
1027,0,40000,0,0,0,0
1028,0,40000,0,0,0,0
1029,0,40000,0,0,0,0
2000,2,39998,0,0,0,0
2001,0,40000,0,2,0,0
2002,0,40000,0,0,0,0
2003,0,40000,0,0,0,0
2004,0,40000,0,0,0,0
2005,0,40000,0,0,0,0
2006,0,40000,0,0,0,0
2007,0,40000,0,0,0,0
2008,0,40000,0,0,0,0
2009,0,40000,0,0,0,0
2010,0,40000,0,0,0,0
2011,0,40000,0,0,0,0
2012,0,40000,0,0,0,0
2013,0,40000,0,0,0,0
2014,0,40000,0,0,0,0
2015,0,40000,0,0,0,0
2016,0,40000,0,0,0,0
2017,0,40000,0,0,0,0
2018,0,40000,0,0,0,0
2019,0,40000,0,0,0,0
2020,0,40000,0,0,0,0
2021,0,40000,0,0,0,0
2022,0,40000,0,0,0,0
2023,0,40000,0,0,0,0
2024,0,40000,0,0,0,0
2025,0,40000,0,0,0,0
2026,0,40000,0,0,0,0
2027,0,40000,0,0,0,0
2028,0,40000,0,0,0,0
2029,0,40000,0,0,0,0
3000,3,39997,0,0,0,0
3001,3,39997,2,2,100,100
3002,3,39997,2,2,100,100
3003,3,39997,2,2,100,100
3004,3,39997,2,2,100,100
3005,3,39997,2,2,100,100
3006,3,39997,2,2,100,100
3007,3,39997,2,2,100,100
3008,3,39997,2,2,100,100
3009,3,39997,2,2,100,100
3010,3,39997,2,2,100,100
3011,3,39997,2,2,100,100
3012,3,39997,2,2,100,100
3013,3,39997,2,2,100,100
3014,3,39997,2,2,100,100
3015,3,39997,2,2,100,100
3016,3,39997,2,2,100,100
3017,3,39997,2,2,100,100
3018,3,39997,2,2,100,100
3019,3,39997,2,2,100,100
3020,3,39997,2,2,100,100
3021,3,39997,2,2,100,100
3022,3,39997,2,2,100,100
3023,3,39997,2,2,100,100
3024,3,39997,2,2,100,100
3025,3,39997,2,2,100,100
3026,3,39997,2,2,100,100
3027,3,39997,2,2,100,100
3028,3,39997,2,2,100,100
3029,3,39997,2,2,100,100
4000,4,39996,2,2,75,75
4001,6,39994,4,2,99,100
4002,6,39994,2,2,99,100
4003,6,39994,0,0,99,100
4004,6,39994,0,0,99,100
4005,6,39994,0,0,99,100
4006,6,39994,0,0,99,100
4007,6,39994,0,0,99,100
4008,6,39994,0,0,99,100
4009,6,39994,0,0,99,100
4010,6,39994,0,0,99,100
4011,6,39994,0,0,99,100
4012,6,39994,0,0,99,100
4013,6,39994,0,0,99,100
4014,6,39994,0,0,99,100
4015,6,39994,0,0,99,100
4016,6,39994,0,0,99,100
4017,6,39994,0,0,99,100
4018,6,39994,0,0,99,100
4019,6,39994,0,0,99,100
4020,6,39994,0,0,99,100
4021,6,39994,0,0,99,100
4022,6,39994,0,0,99,100
