generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
10000,1,39999,0,0,0,0
10001,0,40000,0,1,0,0
20000,2,39998,0,1,0,0
20001,0,40000,0,2,0,0
30000,3,39997,0,2,0,0
30001,3,39997,2,2,100,100
40000,4,39996,2,2,75,75
40001,6,39994,4,2,99,100
50000,5,39995,4,2,119,120
50001,9,39991,6,2,100,100
60000,6,39994,6,2,150,150
60001,12,39988,8,2,99,100
70000,7,39993,8,2,170,171
70001,15,39985,10,2,100,100
80000,8,39992,10,2,187,187
80001,18,39982,12,2,99,100
90000,9,39991,12,2,199,200
90001,21,39979,14,2,100,100
100000,10,39990,14,2,210,210
100001,24,39976,16,2,99,100
110000,11,39989,16,2,217,218
110001,27,39973,18,2,100,100
120000,12,39988,18,2,225,225
120001,30,39970,20,2,99,100
130000,13,39987,20,2,229,230
130001,33,39967,22,2,100,100
140000,14,39986,22,2,235,235
140001,36,39964,24,2,99,100
150000,15,39985,24,2,238,240
150001,39,39961,26,2,100,100
160000,16,39984,26,2,243,243
160001,42,39958,28,2,99,100
170000,17,39983,28,2,245,247
170001,45,39955,30,2,100,100
180000,18,39982,30,2,250,250
180001,48,39952,32,2,99,100
190000,19,39981,32,2,251,252
190001,51,39949,34,2,100,100
200000,20,39980,34,2,255,255
200001,54,39946,36,2,99,100
210000,21,39979,36,2,255,257
210001,57,39943,38,2,100,100
220000,22,39978,38,2,259,259
220001,60,39940,40,2,99,100
230000,23,39977,40,2,259,260
230001,63,39937,42,2,100,100
240000,24,39976,42,2,262,262
240001,66,39934,44,2,99,100
250000,25,39975,44,2,262,264
250001,69,39931,46,2,100,100
260000,26,39974,46,2,265,265
260001,72,39928,48,2,99,100
270000,27,39973,48,2,265,266
270001,75,39925,50,2,100,100
280000,28,39972,50,2,267,267
280001,78,39922,52,2,99,100
290000,29,39971,52,2,267,268
290001,81,39919,54,2,100,100
300000,30,39970,54,2,270,270
300001,84,39916,56,2,99,100
310000,31,39969,56,2,269,270
310001,87,39913,58,2,100,100
320000,32,39968,58,2,271,271
320001,90,39910,60,2,99,100
330000,33,39967,60,2,271,272
330001,93,39907,62,2,100,100
340000,34,39966,62,2,273,273
340001,96,39904,64,2,99,100
350000,35,39965,64,2,272,274
350001,99,39901,66,2,100,100
360000,36,39964,66,2,275,275
360001,102,39898,68,2,99,100
370000,37,39963,68,2,274,275
370001,105,39895,70,2,100,100
380000,38,39962,70,2,276,276
380001,108,39892,72,2,99,100
390000,39,39961,72,2,275,276
390001,111,39889,74,2,100,100
400000,40,39960,74,2,277,277
400001,114,39886,76,2,99,100
410000,41,39959,76,2,276,278
410001,117,39883,78,2,100,100
420000,42,39958,78,2,278,278
420001,120,39880,80,2,99,100
430000,43,39957,80,2,277,279
430001,123,39877,82,2,100,100
440000,44,39956,82,2,279,279
440001,126,39874,84,2,99,100
450000,45,39955,84,2,278,280
450001,129,39871,86,2,100,100
460000,46,39954,86,2,280,280
460001,132,39868,88,2,99,100
470000,47,39953,88,2,279,280
470001,135,39865,90,2,100,100
480000,48,39952,90,2,281,281
480001,138,39862,92,2,99,100
490000,49,39951,92,2,280,281
490001,141,39859,94,2,100,100
500000,50,39950,94,2,282,282
500001,144,39856,96,2,99,100
510000,51,39949,96,2,280,282
510001,147,39853,98,2,100,100
520000,52,39948,98,2,282,282
520001,150,39850,100,2,99,100
530000,53,39947,100,2,281,283
530001,153,39847,102,2,100,100
540000,54,39946,102,2,283,283
540001,156,39844,104,2,99,100
550000,55,39945,104,2,282,283
550001,159,39841,106,2,100,100
560000,56,39944,106,2,283,283
560001,162,39838,108,2,99,100
570000,57,39943,108,2,282,284
570001,165,39835,110,2,100,100
580000,58,39942,110,2,284,284
580001,168,39832,112,2,99,100
590000,59,39941,112,2,283,284
590001,171,39829,114,2,100,100
600000,60,39940,114,2,285,285
600001,174,39826,116,2,99,100
610000,61,39939,116,2,283,285
610001,177,39823,118,2,100,100
620000,62,39938,118,2,285,285
620001,180,39820,120,2,99,100
630000,63,39937,120,2,284,285
630001,183,39817,122,2,100,100
640000,64,39936,122,2,285,285
640001,186,39814,124,2,99,100
650000,65,39935,124,2,284,286
650001,189,39811,126,2,100,100
660000,66,39934,126,2,286,286
660001,192,39808,128,2,99,100
670000,67,39933,128,2,285,286
670001,195,39805,130,2,100,100
680000,68,39932,130,2,286,286
680001,198,39802,132,2,99,100
690000,69,39931,132,2,285,286
690001,201,39799,134,2,100,100
700000,70,39930,134,2,287,287
700001,204,39796,136,2,99,100
710000,71,39929,136,2,285,287
710001,207,39793,138,2,100,100
720000,72,39928,138,2,287,287
720001,210,39790,140,2,99,100
730000,73,39927,140,2,286,287
730001,213,39787,142,2,100,100
740000,74,39926,142,2,287,287
740001,216,39784,144,2,99,100
750000,75,39925,144,2,286,288
750001,219,39781,146,2,100,100
760000,76,39924,146,2,288,288
760001,222,39778,148,2,99,100
770000,77,39923,148,2,286,288
770001,225,39775,150,2,100,100
780000,78,39922,150,2,288,288
780001,228,39772,152,2,99,100
790000,79,39921,152,2,287,288
790001,231,39769,154,2,100,100
800000,80,39920,154,2,288,288
800001,234,39766,156,2,99,100
810000,81,39919,156,2,287,288
810001,237,39763,158,2,100,100
820000,82,39918,158,2,289,289
820001,240,39760,160,2,99,100
830000,83,39917,160,2,287,289
830001,243,39757,162,2,100,100
840000,84,39916,162,2,289,289
840001,246,39754,164,2,99,100
850000,85,39915,164,2,287,289
850001,249,39751,166,2,100,100
860000,86,39914,166,2,289,289
860001,252,39748,168,2,99,100
870000,87,39913,168,2,288,289
870001,255,39745,170,2,100,100
880000,88,39912,170,2,289,289
880001,258,39742,172,2,99,100
890000,89,39911,172,2,288,289
890001,261,39739,174,2,100,100
900000,90,39910,174,2,290,290
900001,264,39736,176,2,99,100
910000,91,39909,176,2,288,290
910001,267,39733,178,2,100,100
920000,92,39908,178,2,290,290
920001,270,39730,180,2,99,100
930000,93,39907,180,2,288,290
930001,273,39727,182,2,100,100
940000,94,39906,182,2,290,290
940001,276,39724,184,2,99,100
950000,95,39905,184,2,289,290
950001,279,39721,186,2,100,100
960000,96,39904,186,2,290,290
960001,282,39718,188,2,99,100
970000,97,39903,188,2,289,290
970001,285,39715,190,2,100,100
980000,98,39902,190,2,290,290
980001,288,39712,192,2,99,100
990000,99,39901,192,2,289,290
990001,291,39709,194,2,100,100
1000000,100,39900,194,2,291,291
1000001,294,39706,196,2,99,100
1010000,101,39899,196,2,289,291
1010001,297,39703,198,2,100,100
1020000,102,39898,198,2,291,291
1020001,300,39700,200,2,99,100
1030000,103,39897,200,2,289,291
1030001,303,39697,202,2,100,100
1040000,104,39896,202,2,291,291
1040001,306,39694,204,2,99,100
1050000,105,39895,204,2,289,291
1050001,309,39691,206,2,100,100
1060000,106,39894,206,2,291,291
1060001,312,39688,208,2,99,100
1070000,107,39893,208,2,290,291
1070001,315,39685,210,2,100,100
1080000,108,39892,210,2,291,291
1080001,318,39682,212,2,99,100
1090000,109,39891,212,2,290,291
1090001,321,39679,214,2,100,100
1100000,110,39890,214,2,291,291
1100001,324,39676,216,2,99,100
1110000,111,39889,216,2,290,291
1110001,327,39673,218,2,100,100
1120000,112,39888,218,2,291,291
1120001,330,39670,220,2,99,100
1130000,113,39887,220,2,290,292
1130001,333,39667,222,2,100,100
1140000,114,39886,222,2,292,292
1140001,336,39664,224,2,99,100
1150000,115,39885,224,2,290,292
1150001,339,39661,226,2,100,100
1160000,116,39884,226,2,292,292
1160001,342,39658,228,2,99,100
1170000,117,39883,228,2,290,292
1170001,345,39655,230,2,100,100
1180000,118,39882,230,2,292,292
1180001,348,39652,232,2,99,100
1190000,119,39881,232,2,290,292
1190001,351,39649,234,2,100,100
1200000,120,39880,234,2,292,292
1200001,354,39646,236,2,99,100
1210000,121,39879,236,2,291,292
1210001,357,39643,238,2,100,100
1220000,122,39878,238,2,292,292
1220001,360,39640,240,2,99,100
1230000,123,39877,240,2,291,292
1230001,363,39637,242,2,100,100
1240000,124,39876,242,2,292,292
1240001,366,39634,244,2,99,100
1250000,125,39875,244,2,291,292
1250001,369,39631,246,2,100,100
1260000,126,39874,246,2,292,292
1260001,372,39628,248,2,99,100
1270000,127,39873,248,2,291,292
1270001,375,39625,250,2,100,100
1280000,128,39872,250,2,292,292
1280001,378,39622,252,2,99,100
1290000,129,39871,252,2,291,293
1290001,381,39619,254,2,100,100
1300000,130,39870,254,2,293,293
1300001,384,39616,256,2,99,100
1310000,131,39869,256,2,291,293
1310001,387,39613,258,2,100,100
1320000,132,39868,258,2,293,293
1320001,390,39610,260,2,99,100
1330000,133,39867,260,2,291,293
1330001,393,39607,262,2,100,100
1340000,134,39866,262,2,293,293
1340001,396,39604,264,2,99,100
1350000,135,39865,264,2,291,293
1350001,399,39601,266,2,100,100
1360000,136,39864,266,2,293,293
1360001,402,39598,268,2,99,100
1370000,137,39863,268,2,291,293
1370001,405,39595,270,2,100,100
1380000,138,39862,270,2,293,293
1380001,408,39592,272,2,99,100
1390000,139,39861,272,2,292,293
1390001,411,39589,274,2,100,100
1400000,140,39860,274,2,293,293
1400001,414,39586,276,2,99,100
