generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
1000,1,39999,0,0,0,0
1001,0,40000,0,1,0,0
1002,0,40000,0,0,0,0
2000,2,39998,0,0,0,0
2001,0,40000,0,2,0,0
2002,0,40000,0,0,0,0
3000,3,39997,0,0,0,0
3001,3,39997,2,2,100,100
3002,3,39997,2,2,100,100
3003,3,39997,2,2,100,100
4000,4,39996,2,2,75,75
4001,6,39994,4,2,99,100
4002,6,39994,2,2,99,100
4003,6,39994,0,0,99,100
4004,6,39994,0,0,99,100
4005,6,39994,0,0,99,100
5000,5,39995,0,0,119,120
5001,9,39991,6,2,100,100
5002,8,39992,4,5,100,100
5003,12,39988,4,0,100,100
5004,12,39988,8,8,100,100
5005,20,39980,8,0,100,100
5006,12,39988,8,16,100,100
5007,12,39988,8,8,100,100
5008,12,39988,8,8,100,100
5009,12,39988,8,8,100,100
5010,12,39988,8,8,100,100
6000,6,39994,8,8,200,200
6001,12,39988,8,2,99,100
6002,10,39990,6,8,99,100
6003,16,39984,6,0,99,100
6004,10,39990,8,14,99,100
6005,14,39986,8,4,99,100
6006,12,39988,6,8,99,100
6007,16,39984,12,8,99,100
6008,10,39990,4,10,99,100
6009,10,39990,2,2,99,100
6010,6,39994,0,4,99,100
6011,4,39996,2,4,99,100
6012,0,40000,0,4,0,0
6013,0,40000,0,0,0,0
7000,7,39993,0,0,0,0
7001,15,39985,10,2,100,100
7002,12,39988,8,11,100,100
7003,22,39978,10,0,100,100
7004,16,39984,12,18,100,100
7005,32,39968,16,0,100,100
7006,24,39976,20,28,100,100
7007,40,39960,16,0,100,100
7008,32,39968,16,24,100,100
7009,40,39960,8,0,100,100
7010,44,39956,16,12,100,100
7011,56,39944,20,8,100,100
7012,20,39980,8,44,100,100
7013,24,39976,12,8,100,100
7014,24,39976,8,8,100,100
7015,24,39976,0,0,100,100
7016,24,39976,0,0,100,100
7017,24,39976,0,0,100,100
8000,8,39992,0,0,300,300
8001,18,39982,12,2,99,100
8002,14,39986,10,14,99,100
8003,28,39972,14,0,99,100
8004,14,39986,12,26,99,100
8005,18,39982,8,4,99,100
8006,20,39980,14,12,99,100
8007,28,39972,8,0,99,100
8008,14,39986,4,18,99,100
8009,10,39990,8,12,99,100
8010,8,39992,2,4,99,100
8011,14,39986,6,0,99,100
8012,12,39988,6,8,99,100
8013,12,39988,8,8,99,100
8014,16,39984,8,4,99,100
8015,16,39984,8,8,99,100
8016,24,39976,8,0,99,100
8017,24,39976,16,16,99,100
8018,40,39960,16,0,99,100
8019,24,39976,16,32,99,100
8020,24,39976,16,16,99,100
8021,30,39970,20,14,99,100
8022,28,39972,18,20,99,100
8023,34,39966,18,12,99,100
8024,28,39972,20,26,99,100
8025,40,39960,28,16,99,100
8026,30,39970,16,26,99,100
8027,46,39954,28,12,99,100
8028,50,39950,28,24,99,100
8029,52,39948,16,14,99,100
8030,46,39954,12,18,99,100
8031,46,39954,10,10,99,100
8032,54,39946,16,8,99,100
8033,44,39956,18,28,99,100
8034,36,39964,16,24,99,100
8035,48,39952,16,4,99,100
8036,44,39956,16,20,99,100
8037,72,39928,28,0,99,100
8038,48,39952,28,52,99,100
8039,72,39928,40,16,99,100
8040,60,39940,28,40,99,100
8041,68,39932,36,28,99,100
8042,68,39932,40,40,99,100
8043,84,39916,36,20,99,100
8044,60,39940,24,48,99,100
8045,40,39960,12,32,99,100
8046,40,39960,16,16,99,100
8047,40,39960,8,8,99,100
8048,40,39960,8,8,99,100
8049,40,39960,0,0,99,100
9000,9,39991,0,0,442,444
9001,21,39979,14,2,100,100
9002,16,39984,12,17,100,100
9003,34,39966,18,0,100,100
