generation #, # alive cells, # dead cells, BORN, KILLED 
0,79668,80332,0,0
1,44280,115720,17780,53168
2,40888,119112,19944,23336
3,40105,119895,18914,19697
4,38330,121670,17738,19513
5,36798,123202,17095,18627
6,35391,124609,16169,17576
7,34364,125636,15671,16698
8,33373,126627,15124,16115
9,32921,127079,14966,15418
10,31985,128015,14177,15113
11,31257,128743,13949,14677
12,30258,129742,13410,14409
13,29974,130026,13186,13470
14,29261,130739,12857,13570
15,28799,131201,12615,13077
16,27976,132024,12244,13067
17,27606,132394,11903,12273
18,26800,133200,11629,12435
19,26787,133213,11662,11675
20,25847,134153,11092,12032
21,25571,134429,11016,11292
22,25154,134846,10706,11123
23,25018,134982,10582,10718
24,24547,135453,10393,10864
25,24578,135422,10433,10402
26,24142,135858,10307,10743
27,24099,135901,10292,10335
28,23438,136562,9971,10632
29,23248,136752,9789,9979
30,22686,137314,9536,10098
31,22498,137502,9437,9625
32,22421,137579,9339,9416
33,22073,137927,9200,9548
34,21629,138371,9096,9540
35,21257,138743,8810,9182
36,21129,138871,8917,9045
37,20979,139021,8769,8919
38,20584,139416,8530,8925
39,20493,139507,8484,8575
40,20301,139699,8436,8628
41,20278,139722,8307,8330
42,19826,140174,8120,8572
43,19837,140163,8066,8055
44,19487,140513,7859,8209
45,19446,140554,7852,7893
46,19362,140638,7840,7924
47,19299,140701,7783,7846
48,19117,140883,7642,7824
49,19117,140883,7558,7558
50,18898,141102,7597,7816
51,18744,141256,7529,7683
52,18599,141401,7462,7607
53,18447,141553,7338,7490
54,18352,141648,7336,7431
55,18282,141718,7350,7420
56,17999,142001,7180,7463
57,18087,141913,7307,7219
58,17858,142142,7171,7400
59,17771,142229,7138,7225
60,17607,142393,6990,7154
61,17567,142433,6930,6970
62,17242,142758,6739,7064
63,17297,142703,6751,6696
64,17424,142576,6721,6594
65,17163,142837,6738,6999
66,17184,142816,6678,6657
67,17230,142770,6740,6694
68,17073,142927,6751,6908
69,17075,142925,6762,6760
70,16984,143016,6627,6718
71,16957,143043,6535,6562
72,17054,142946,6686,6589
73,17074,142926,6697,6677
