generation #, # alive cells, # dead cells, BORN, KILLED 
0,111,145,0,0
1,91,165,39,59
2,75,181,38,54
3,46,210,22,51
4,40,216,17,23
5,42,214,14,12
6,40,216,14,16
7,38,218,12,14
8,33,223,11,16
9,39,217,16,10
10,40,216,14,13
11,41,215,20,19
12,43,213,20,18
13,40,216,14,17
14,34,222,17,23
15,32,224,12,14
16,33,223,11,10
17,31,225,14,16
18,32,224,12,11
19,42,214,19,9
20,25,231,9,26
21,24,232,8,9
22,23,233,6,7
23,21,235,7,9
24,23,233,6,4
25,23,233,6,6
26,28,228,7,2
27,25,231,7,10
28,34,222,12,3
29,29,227,13,18
30,31,225,13,11
31,26,230,7,12
32,29,227,11,8
33,24,232,8,13
34,28,228,12,8
35,19,237,7,16
36,18,238,6,7
37,18,238,7,7
38,19,237,5,4
39,23,233,6,2
40,21,235,7,9
41,28,228,13,6
42,19,237,5,14
43,16,240,5,8
44,14,242,4,6
45,14,242,4,4
46,14,242,4,4
47,14,242,4,4
48,14,242,4,4
49,14,242,4,4
50,14,242,4,4
51,14,242,4,4
52,14,242,4,4
53,14,242,4,4
54,14,242,4,4
55,14,242,4,4
56,14,242,4,4
57,14,242,4,4
58,14,242,4,4
59,14,242,4,4
60,14,242,4,4
61,14,242,4,4
62,14,242,4,4
63,14,242,4,4
64,14,242,4,4
65,14,242,4,4
66,14,242,4,4
67,14,242,4,4
68,14,242,4,4
69,14,242,4,4
70,14,242,4,4
71,14,242,4,4
72,14,242,4,4
73,14,242,4,4
74,14,242,4,4
75,14,242,4,4
76,14,242,4,4
77,14,242,4,4
78,14,242,4,4
79,14,242,4,4
80,14,242,4,4
81,14,242,4,4
82,14,242,4,4
83,14,242,4,4
84,14,242,4,4
85,14,242,4,4
86,14,242,4,4
87,14,242,4,4
88,14,242,4,4
89,14,242,4,4
90,14,242,4,4
91,14,242,4,4
92,14,242,4,4
93,14,242,4,4
94,14,242,4,4
95,14,242,4,4
96,14,242,4,4
97,14,242,4,4
98,14,242,4,4
99,14,242,4,4
100,14,242,4,4
101,14,242,4,4
102,14,242,4,4
103,14,242,4,4
104,14,242,4,4
105,14,242,4,4
106,14,242,4,4
107,14,242,4,4
108,14,242,4,4
109,14,242,4,4
110,14,242,4,4
111,14,242,4,4
112,14,242,4,4
113,14,242,4,4
114,14,242,4,4
115,14,242,4,4
116,14,242,4,4
117,14,242,4,4
118,14,242,4,4
119,14,242,4,4
120,14,242,4,4
121,14,242,4,4
122,14,242,4,4
123,14,242,4,4
124,14,242,4,4
125,14,242,4,4
126,14,242,4,4
127,14,242,4,4
128,14,242,4,4
129,14,242,4,4
130,14,242,4,4
131,14,242,4,4
132,14,242,4,4
133,14,242,4,4
134,14,242,4,4
135,14,242,4,4
136,14,242,4,4
137,14,242,4,4
138,14,242,4,4
139,14,242,4,4
140,14,242,4,4
141,14,242,4,4
142,14,242,4,4
143,14,242,4,4
144,14,242,4,4
145,14,242,4,4
146,14,242,4,4
147,14,242,4,4
148,14,242,4,4
149,14,242,4,4
150,14,242,4,4
151,14,242,4,4
152,14,242,4,4
153,14,242,4,4
154,14,242,4,4
155,14,242,4,4
156,14,242,4,4
157,14,242,4,4
158,14,242,4,4
159,14,242,4,4
160,14,242,4,4
161,14,242,4,4
162,14,242,4,4
163,14,242,4,4
164,14,242,4,4
165,14,242,4,4
166,14,242,4,4
167,14,242,4,4
168,14,242,4,4
169,14,242,4,4
170,14,242,4,4
171,14,242,4,4
172,14,242,4,4
173,14,242,4,4
174,14,242,4,4
175,14,242,4,4
176,14,242,4,4
177,14,242,4,4
178,14,242,4,4
179,14,242,4,4
180,14,242,4,4
181,14,242,4,4
182,14,242,4,4
183,14,242,4,4
184,14,242,4,4
185,14,242,4,4
186,14,242,4,4
187,14,242,4,4
188,14,242,4,4
189,14,242,4,4
190,14,242,4,4
191,14,242,4,4
192,14,242,4,4
193,14,242,4,4
194,14,242,4,4
195,14,242,4,4
196,14,242,4,4
197,14,242,4,4
198,14,242,4,4
199,14,242,4,4
200,14,242,4,4
