generation #, # alive cells, # dead cells, BORN, KILLED, avg x pos, avg y pos 
0,9,2695,0,0,0,0
1,12,2692,6,3,25,2
2,9,2695,5,8,25,3
3,12,2692,6,3,26,3
4,9,2695,5,8,26,4
5,12,2692,6,3,25,4
6,9,2695,5,8,25,5
7,12,2692,6,3,26,5
8,9,2695,5,8,26,6
9,12,2692,6,3,25,6
10,9,2695,5,8,25,7
11,12,2692,6,3,26,7
12,9,2695,5,8,26,8
13,12,2692,6,3,25,8
14,9,2695,5,8,25,9
15,12,2692,6,3,26,9
16,9,2695,5,8,26,10
17,12,2692,6,3,25,10
18,9,2695,5,8,25,11
19,12,2692,6,3,26,11
20,9,2695,5,8,26,12
21,12,2692,6,3,25,12
22,9,2695,5,8,25,13
23,12,2692,6,3,26,13
24,9,2695,5,8,26,14
25,12,2692,6,3,25,14
26,9,2695,5,8,25,15
27,12,2692,6,3,26,15
28,9,2695,5,8,26,16
29,12,2692,6,3,25,16
30,9,2695,5,8,25,17
31,12,2692,6,3,26,17
32,9,2695,5,8,26,18
33,12,2692,6,3,25,18
34,9,2695,5,8,25,19
35,12,2692,6,3,26,19
36,9,2695,5,8,26,20
37,12,2692,6,3,25,20
38,9,2695,5,8,25,21
39,12,2692,6,3,26,21
40,9,2695,5,8,26,22
41,12,2692,6,3,25,22
42,9,2695,5,8,25,23
43,12,2692,6,3,26,23
44,9,2695,5,8,26,24
45,12,2692,6,3,25,24
46,9,2695,5,8,25,25
47,12,2692,6,3,26,25
48,9,2695,5,8,26,26
49,12,2692,6,3,25,26
50,9,2695,5,8,25,27
51,12,2692,6,3,26,27
52,9,2695,5,8,26,28
53,12,2692,6,3,25,28
54,9,2695,5,8,25,29
55,12,2692,6,3,26,29
56,9,2695,5,8,26,30
57,12,2692,6,3,25,30
58,9,2695,5,8,25,31
59,12,2692,6,3,26,31
60,9,2695,5,8,26,32
61,12,2692,6,3,25,32
62,9,2695,5,8,25,33
63,12,2692,6,3,26,33
64,9,2695,5,8,26,34
65,12,2692,6,3,25,34
66,9,2695,5,8,25,35
67,12,2692,6,3,26,35
68,9,2695,5,8,26,36
69,12,2692,6,3,25,36
70,9,2695,5,8,25,37
71,12,2692,6,3,26,37
72,9,2695,5,8,26,38
73,12,2692,6,3,25,38
74,9,2695,5,8,25,39
75,12,2692,6,3,26,39
76,9,2695,5,8,26,40
77,12,2692,6,3,25,40
78,9,2695,5,8,25,41
79,12,2692,6,3,26,41
80,9,2695,5,8,26,42
81,12,2692,6,3,25,42
82,9,2695,5,8,25,43
83,12,2692,6,3,26,43
84,9,2695,5,8,26,44
85,12,2692,6,3,25,44
86,9,2695,5,8,25,45
87,12,2692,6,3,26,45
88,9,2695,5,8,26,46
89,12,2692,6,3,25,46
90,9,2695,5,8,25,47
91,12,2692,6,3,26,47
92,9,2695,5,8,26,48
93,12,2692,6,3,25,48
94,9,2695,5,8,25,49
95,12,2692,6,3,26,45
96,9,2695,5,8,26,33
97,12,2692,6,3,25,33
98,9,2695,5,8,25,22
99,12,2692,6,3,26,21
100,9,2695,5,8,26,17
101,12,2692,6,3,25,9
102,9,2695,5,8,25,12
103,12,2692,6,3,26,1
104,9,2695,5,8,26,2
105,12,2692,6,3,25,2
106,9,2695,5,8,25,3
107,12,2692,6,3,26,3
108,9,2695,5,8,26,4
109,12,2692,6,3,25,4
110,9,2695,5,8,25,5
111,12,2692,6,3,26,5
112,9,2695,5,8,26,6
113,12,2692,6,3,25,6
114,9,2695,5,8,25,7
115,12,2692,6,3,26,7
116,9,2695,5,8,26,8
117,12,2692,6,3,25,8
118,9,2695,5,8,25,9
119,12,2692,6,3,26,9
120,9,2695,5,8,26,10
121,12,2692,6,3,25,10
122,9,2695,5,8,25,11
123,12,2692,6,3,26,11
124,9,2695,5,8,26,12
125,12,2692,6,3,25,12
126,9,2695,5,8,25,13
127,12,2692,6,3,26,13
128,9,2695,5,8,26,14
129,12,2692,6,3,25,14
130,9,2695,5,8,25,15
131,12,2692,6,3,26,15
132,9,2695,5,8,26,16
133,12,2692,6,3,25,16
134,9,2695,5,8,25,17
135,12,2692,6,3,26,17
136,9,2695,5,8,26,18
137,12,2692,6,3,25,18
138,9,2695,5,8,25,19
139,12,2692,6,3,26,19
140,9,2695,5,8,26,20
141,12,2692,6,3,25,20
142,9,2695,5,8,25,21
143,12,2692,6,3,26,21
144,9,2695,5,8,26,22
145,12,2692,6,3,25,22
146,9,2695,5,8,25,23
147,12,2692,6,3,26,23
148,9,2695,5,8,26,24
149,12,2692,6,3,25,24
150,9,2695,5,8,25,25
151,12,2692,6,3,26,25
152,9,2695,5,8,26,26
153,12,2692,6,3,25,26
154,9,2695,5,8,25,27
155,12,2692,6,3,26,27
156,9,2695,5,8,26,28
157,12,2692,6,3,25,28
158,9,2695,5,8,25,29
159,12,2692,6,3,26,29
160,9,2695,5,8,26,30
161,12,2692,6,3,25,30
162,9,2695,5,8,25,31
163,12,2692,6,3,26,31
164,9,2695,5,8,26,32
165,12,2692,6,3,25,32
166,9,2695,5,8,25,33
167,12,2692,6,3,26,33
168,9,2695,5,8,26,34
169,12,2692,6,3,25,34
170,9,2695,5,8,25,35
171,12,2692,6,3,26,35
172,9,2695,5,8,26,36
173,12,2692,6,3,25,36
174,9,2695,5,8,25,37
175,12,2692,6,3,26,37
176,9,2695,5,8,26,38
177,12,2692,6,3,25,38
178,9,2695,5,8,25,39
179,12,2692,6,3,26,39
180,9,2695,5,8,26,40
181,12,2692,6,3,25,40
182,9,2695,5,8,25,41
183,12,2692,6,3,26,41
184,9,2695,5,8,26,42
185,12,2692,6,3,25,42
186,9,2695,5,8,25,43
187,12,2692,6,3,26,43
188,9,2695,5,8,26,44
189,12,2692,6,3,25,44
190,9,2695,5,8,25,45
191,12,2692,6,3,26,45
192,9,2695,5,8,26,46
193,12,2692,6,3,25,46
194,9,2695,5,8,25,47
195,12,2692,6,3,26,47
196,9,2695,5,8,26,48
197,12,2692,6,3,25,48
198,9,2695,5,8,25,49
199,12,2692,6,3,26,45
200,9,2695,5,8,26,33
201,12,2692,6,3,25,33
202,9,2695,5,8,25,22
203,12,2692,6,3,26,21
204,9,2695,5,8,26,17
205,12,2692,6,3,25,9
206,9,2695,5,8,25,12
207,12,2692,6,3,26,1
208,9,2695,5,8,26,2
209,12,2692,6,3,25,2
210,9,2695,5,8,25,3
211,12,2692,6,3,26,3
212,9,2695,5,8,26,4
213,12,2692,6,3,25,4
214,9,2695,5,8,25,5
215,12,2692,6,3,26,5
216,9,2695,5,8,26,6
217,12,2692,6,3,25,6
218,9,2695,5,8,25,7
219,12,2692,6,3,26,7
220,9,2695,5,8,26,8
221,12,2692,6,3,25,8
222,9,2695,5,8,25,9
223,12,2692,6,3,26,9
224,9,2695,5,8,26,10
225,12,2692,6,3,25,10
226,9,2695,5,8,25,11
227,12,2692,6,3,26,11
228,9,2695,5,8,26,12
229,12,2692,6,3,25,12
230,9,2695,5,8,25,13
231,12,2692,6,3,26,13
232,9,2695,5,8,26,14
233,12,2692,6,3,25,14
234,9,2695,5,8,25,15
235,12,2692,6,3,26,15
236,9,2695,5,8,26,16
237,12,2692,6,3,25,16
238,9,2695,5,8,25,17
239,12,2692,6,3,26,17
240,9,2695,5,8,26,18
241,12,2692,6,3,25,18
242,9,2695,5,8,25,19
243,12,2692,6,3,26,19
244,9,2695,5,8,26,20
245,12,2692,6,3,25,20
246,9,2695,5,8,25,21
247,12,2692,6,3,26,21
248,9,2695,5,8,26,22
249,12,2692,6,3,25,22
250,9,2695,5,8,25,23
251,12,2692,6,3,26,23
252,9,2695,5,8,26,24
253,12,2692,6,3,25,24
254,9,2695,5,8,25,25
255,12,2692,6,3,26,25
256,9,2695,5,8,26,26
257,12,2692,6,3,25,26
258,9,2695,5,8,25,27
259,12,2692,6,3,26,27
260,9,2695,5,8,26,28
261,12,2692,6,3,25,28
262,9,2695,5,8,25,29
263,12,2692,6,3,26,29
264,9,2695,5,8,26,30
265,12,2692,6,3,25,30
266,9,2695,5,8,25,31
267,12,2692,6,3,26,31
268,9,2695,5,8,26,32
269,12,2692,6,3,25,32
270,9,2695,5,8,25,33
271,12,2692,6,3,26,33
272,9,2695,5,8,26,34
273,12,2692,6,3,25,34
274,9,2695,5,8,25,35
275,12,2692,6,3,26,35
276,9,2695,5,8,26,36
277,12,2692,6,3,25,36
278,9,2695,5,8,25,37
279,12,2692,6,3,26,37
280,9,2695,5,8,26,38
281,12,2692,6,3,25,38
282,9,2695,5,8,25,39
283,12,2692,6,3,26,39
284,9,2695,5,8,26,40
285,12,2692,6,3,25,40
286,9,2695,5,8,25,41
287,12,2692,6,3,26,41
288,9,2695,5,8,26,42
289,12,2692,6,3,25,42
290,9,2695,5,8,25,43
291,12,2692,6,3,26,43
292,9,2695,5,8,26,44
293,12,2692,6,3,25,44
294,9,2695,5,8,25,45
295,12,2692,6,3,26,45
